long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,
6,-1,-1,0,"10-й рівень",,,,,,,,"10-й рівень",,,,,,,,0xFF01FE,"Досягніть 10-го рівня.",,,,,,,,"Досягніть 10-го рівня.",,,,,,,,0xFF01FE,92,0xA,1,0x4,3268,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
33,1,-1,0,"Битва в Борейщині",,,,,,,,"Битва в Борейщині",,,,,,,,0xFF01FE,"Виконайте 130 завдань у Борейській тундрі.",,,,,,,,"Виконайте 130 завдань у Борейській тундрі.",,,,,,,,0xFF01FE,14863,0xA,1,0x88,3336,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
42,-1,-1,0,"Східні Королівства",,,,,,,,"Східні Королівства",,,,,,,,0xFF01FE,"Дослідіть усі місцевості Східних королівств.",,,,,,,,"Дослідіть усі місцевості Східних королівств.",,,,,,,,0xFF01FE,97,0x19,1,0x0,3490,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
57,-1,30,0,"Смерті в Альтеракській долині",,,,,,,,"Смерті в Альтеракській долині",,,,,,,,0xFF01FE,"Смерті в Альтеракській долині",,,,,,,,"Смерті в Альтеракській долині",,,,,,,,0xFF01FE,124,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
60,-1,-1,0,"Всього смертей",,,,,,,,"Всього смертей",,,,,,,,0xFF01FE,"Всього смертей",,,,,,,,"Всього смертей",,,,,,,,0xFF01FE,122,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
98,-1,-1,0,"Виконано завдань",,,,,,,,"Виконано завдань",,,,,,,,0xFF01FE,"Виконано завдань",,,,,,,,"Виконано завдань",,,,,,,,0xFF01FE,133,0x0,1,0x9,0,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
107,-1,-1,0,"Вбито створінь",,,,,,,,"Вбито створінь",,,,,,,,0xFF01FE,"Вбито створінь",,,,,,,,"Вбито створінь",,,,,,,,0xFF01FE,135,0x0,1,0x9,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
112,-1,-1,0,"Смерті від втоплення",,,,,,,,"Смерті від втоплення",,,,,,,,0xFF01FE,"Смерті від втоплення",,,,,,,,"Смерті від втоплення",,,,,,,,0xFF01FE,126,0x0,1,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
116,-1,-1,0,"Підмайстер",,,,,,,,"Підмайстер",,,,,,,,0xFF01FE,"Станьте підмайстром у будь-якій професії.",,,,,,,,"Станьте підмайстром у будь-якій професії.",,,,,,,,0xFF01FE,169,0xA,1,0x0,2846,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
121,-1,-1,0,"Кухар-підмайстер",,,,,,,,"Кухар-підмайстер",,,,,,,,0xFF01FE,"Станьте кухарем-підмайстром.",,,,,,,,"Станьте кухарем-підмайстром.",,,,,,,,0xFF01FE,170,0xA,1,0x0,1467,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
126,-1,-1,0,"Риболов-підмайстер",,,,,,,,"Риболов-підмайстер",,,,,,,,0xFF01FE,"Станьте риболовом-підмайстром.",,,,,,,,"Станьте риболовом-підмайстром.",,,,,,,,0xFF01FE,171,0xA,1,0x0,580,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
131,-1,-1,0,"Підмайстер першої допомоги",,,,,,,,"Підмайстер першої допомоги",,,,,,,,0xFF01FE,"Станьте підмайстром першої допомоги.",,,,,,,,"Станьте підмайстром першої допомоги.",,,,,,,,0xFF01FE,172,0xA,1,0x0,504,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
154,-1,529,0,"Перемога в Низовині Араті",,,,,,,,"Перемога в Низовині Араті",,,,,,,,0xFF01FE,"Отримайте перемогу в битві в Низовині Араті.",,,,,,,,"Отримайте перемогу в битві в Низовині Араті.",,,,,,,,0xFF01FE,14802,0xA,1,0x0,3381,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
166,-1,489,0,"Перемога в Ущелині Пісні Війни",,,,,,,,"Перемога в Ущелині Пісні Війни",,,,,,,,0xFF01FE,"Отримайте перемогу в битві в Ущелині Пісні Війни.",,,,,,,,"Отримайте перемогу в битві в Ущелині Пісні Війни.",,,,,,,,0xFF01FE,14804,0xA,1,0x0,3387,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
193,-1,-1,0,"Найсильніший удар",,,,,,,,"Найсильніший удар",,,,,,,,0xFF01FE,"Найсильніший удар",,,,,,,,"Найсильніший удар",,,,,,,,0xFF01FE,141,0x0,1,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
208,-1,566,0,"Перемога на Оці Бурі",,,,,,,,"Перемога на Оці Бурі",,,,,,,,0xFF01FE,"Здобудьте перемогу на Оці Бурі.",,,,,,,,"Здобудьте перемогу на Оці Бурі.",,,,,,,,0xFF01FE,14803,0xA,1,0x0,3384,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
218,-1,30,0,"Перемога в Альтеракській долині",,,,,,,,"Перемога в Альтеракській долині",,,,,,,,0xFF01FE,"Отримайте перемогу в битві в Альтеракській долині.",,,,,,,,"Отримайте перемогу в битві в Альтеракській долині.",,,,,,,,0xFF01FE,14801,0xA,1,0x0,3377,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
