long,long,long,long,long,long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,long,long,long,
34,6,5,0,10,0,0,0,0,"Достягніть 10-го рівня",,,,,,,,"Достягніть 10-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
35,7,5,0,20,0,0,0,0,"Достягніть 20-го рівня",,,,,,,,"Достягніть 20-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
36,8,5,0,30,0,0,0,0,"Достягніть 30-го рівня",,,,,,,,"Достягніть 30-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
37,9,5,0,40,0,0,0,0,"Достягніть 40-го рівня",,,,,,,,"Достягніть 40-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
38,10,5,0,50,0,0,0,0,"Достягніть 50-го рівня",,,,,,,,"Достягніть 50-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
39,11,5,0,60,0,0,0,0,"Достягніть 60-го рівня",,,,,,,,"Достягніть 60-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
40,12,5,0,70,0,0,0,0,"Достягніть 70-го рівня",,,,,,,,"Достягніть 70-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
41,13,5,0,80,0,0,0,0,"Достягніть 80-го рівня",,,,,,,,"Достягніть 80-го рівня",,,,,,,,0xFF01FE,2,0,0,0,1,
72,31,10,0,5,2,0,2,0,"Виконуйте щоденне завдання кожен день протягом 5 днів.",,,,,,,,"Виконуйте щоденне завдання кожен день протягом 5 днів.",,,,,,,,0xFF01FE,1,0,0,0,1,
73,32,9,0,2000,0,0,0,0,"Виконайте 2000 завдань",,,,,,,,"Виконайте 2000 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
74,33,11,3537,130,0,0,0,0,"Виконайте 130 завдань в Борейській тундрі",,,,,,,,"Виконайте 130 завдань в Борейській тундрі",,,,,,,,0xFF01FE,3,0,0,0,1,
75,34,11,495,130,0,0,0,0,"Виконайте 130 завдань в Виючому Фьорді",,,,,,,,"Виконайте 130 завдань в Виючому Фьорді",,,,,,,,0xFF01FE,1,0,0,0,1,
76,35,11,65,115,0,0,0,0,"Виконайте 115 завдань в Драконовому Занепаді",,,,,,,,"Виконайте 115 завдань в Драконовому Занепаді",,,,,,,,0xFF01FE,1,0,0,0,1,
77,36,11,66,100,0,0,0,0,"Виконайте 100 завдань в Зул'Драке",,,,,,,,"Виконайте 100 завдань в Зул'Драке",,,,,,,,0xFF01FE,1,0,0,0,1,
78,37,11,394,85,0,0,0,0,"Виконайте 85 завдань на Пагорбах гризлі",,,,,,,,"Виконайте 85 завдань на Пагорбах гризлі",,,,,,,,0xFF01FE,1,0,0,0,1,
79,38,11,67,100,0,0,0,0,"Виконайте 100 завдань в Грозової Гряді",,,,,,,,"Виконайте 100 завдань в Грозової Гряді",,,,,,,,0xFF01FE,1,0,0,0,1,
80,39,11,3711,75,0,0,0,0,"Виконайте 75 завдань в Низині Шолазар",,,,,,,,"Виконайте 75 завдань в Низині Шолазар",,,,,,,,0xFF01FE,1,0,0,0,1,
81,40,11,210,140,0,0,0,0,"Виконайте 140 завдань в Крижаній Короні",,,,,,,,"Виконайте 140 завдань в Крижаній Короні",,,,,,,,0xFF01FE,1,0,0,0,1,
82,41,8,33,1,0,0,0,0,"Битва в Борейщині",,,,,,,,"Битва в Борейщині",,,,,,,,0xFF01FE,0,0,0,0,1,
94,46,8,42,1,0,0,0,0,"Східні Королівства",,,,,,,,"Східні Королівства",,,,,,,,0xFF01FE,0,0,0,0,1,
100,49,1,30,0,0,0,0,0,"Перемоги в Альтеракській долині",,,,,,,,"Перемоги в Альтеракській долині",,,,,,,,0xFF01FE,0,0,0,0,1,
