long,long,long,long,long,long,long,flags,flags,long,bool,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,long,flags,
1,30,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Альтеракская долина",,,,,,,,0xFF01FE,5,1941,51,0x50,
2,489,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Ущелье Песни Войны",,,,,,,,0xFF01FE,10,1942,10,0x50,
3,529,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Низина Арати",,,,,,,,0xFF01FE,15,1943,20,0x50,
4,559,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,4,1,,,,,,,,,"Арена Награнда",,,,,,,,0xFF01FE,5,0,10,0x50,
5,562,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,4,1,,,,,,,,,"Арена Острогорья",,,,,,,,0xFF01FE,5,0,10,0x50,
6,559,562,572,617,618,-1,0xFFFFFFFF,0xFFFFFFFF,4,1,,,,,,,,,"Все арены",,,,,,,,0xFF01FE,5,0,10,0x50,
7,566,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Око Бури",,,,,,,,0xFF01FE,15,2851,61,0x50,
8,572,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,4,1,,,,,,,,,"Руины Лордерона",,,,,,,,0xFF01FE,5,0,10,0x50,
9,607,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Берег Древних",,,,,,,,0xFF01FE,15,3695,71,0x50,
10,617,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,4,1,,,,,,,,,"Стоки Даларана",,,,,,,,0xFF01FE,5,0,10,0x50,
11,618,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,4,1,,,,,,,,,"Арена Доблести",,,,,,,,0xFF01FE,5,0,10,0x50,
30,628,-1,-1,-1,-1,-1,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Остров Завоеваний",,,,,,,,0xFF01FE,5,4273,71,0x50,
32,30,489,529,566,607,628,0xFFFFFFFF,0xFFFFFFFF,3,1,,,,,,,,,"Случайное поле боя",,,,,,,,0xFF01FE,5,0,0,0x0,
