long,str,
741,"Кошлатий молодой вовк",
742,"Кролик",
743,"Трогг Кам'яній Челюсті",
744,"Дворучні сокири",
745,"Посохи",
746,"Дворучна ударное",
747,"Мечі",
748,"Жезли",
749,"Списи зброя",
750,"Вогнепальна зброя",
751,"Кулачна зброя",
752,"Арбалети",
753,"Сокири",
754,"Метальна зброя",
755,"Луки",
756,"Кинджали",
757,"Ударне",
758,"Дворучні мечі",
759,"Бій двома руками",
760,"Захист",
761,"Зачарування",
762,"Ювелірна справа",
763,"Ковальська справа",
764,"Механика",
765,"Алхімія",
766,"Кравецька справа",
767,"Шкіряна справа",
768,"Травництво",
769,"Гірнича справа",
770,"Свежевание",
771,"Риболовля",
772,"Кулінарія",
773,"Перша допомога",
774,"Виживання",
775,"Плавання",
776,"Рукопашний ",
777,"Фізичний",
778,"Вогонь",
779,"мороз",
780,"Загадкова магія",
781,"Природа",
782,"Тінь",
783,"Світло",
784,"Неизвестно",
785,"Мана",
786,"Лють",
787,"Енергія",
788,"Настроение",
789,"Руни",
790,"Счетчик маноотбора Сонячного Странника",
791,"Хранитель Колодязя Соланиан",
792,"Порченый дух загадкової магії",
793,"Детеныш прыголапа",
794,"Змій Мани",
795,"Зверопастырь",
796,"Шара Солнечное Крыло",
797,"Здичавілий зверопастырь",
798,"Магистресса Эриона",
799,"Слідопит Кариэл",
800,"Фелендрен Изгой",
801,"Вартовий з клану Сонячний Мандрівник",
802,"Ясмин Тели-Лариен",
803,"Рысь-прыголап",
804,"Джулия Удар Сонця",
805,"Марсилла Рассветная Звезда",
806,"Раэлис Рассветная Звезда",
807,"Джестенис Удар Сонця",
808,"Смотрительница Арина",
809,"Джейн",
810,"Джессел",
811,"Нова",
812,"Джейнтесс Тельрин",
813,"Дух загадкової магії",
814,"Чародей Итанас",
815,"Чародей Хелион",
816,"Фараден Тельрин",
817,"Егерь Саллина",
818,"Лантан Перилон",
819,"Гонец Аларион",
820,"Заклинатель Тели-Лариен",
821,"Воїн",
822,"Паладин",
823,"Мисливець",
824,"Розбійник",
825,"Жрець",
826,"Шаман",
827,"Маг",
828,"Чорнокнижник",
829,"Друїд",
830,"Воїтелька",
831,"Мисливиця",
832,"Розбійниця",
833,"Жриця",
834,"Шаманка",
835,"Чарівниця",
836,"Чорнокнижниця",
837,"Друїдка",
838,"Лісовий троль",
839,"Людина",
840,"Орк",
