long,long,long,str,
901,741,1,"Косматого молодого вовка",
902,741,2,"Косматому молодому волку",
903,741,3,"Косматого молодого вовка",
904,741,4,"Косматым молодым волком",
905,741,5,"Косматом молодом волке",
906,742,1,"кролика",
907,742,2,"кролику",
908,742,3,"кролика",
909,742,4,"кроликом",
910,742,5,"кролике",
911,743,1,"Трогга Кам'яній Щелепи",
912,743,2,"Троггу Кам'яній Щелепи",
913,743,3,"Трогга Кам'яній Щелепи",
914,743,4,"Троггом Кам'яній Щелепи",
915,743,5,"Трогге Кам'яній Щелепи",
916,744,6,"Ваше вміння володіння дворучними сокирами",
91353,744,7,"Ваше вміння володіння дворучними сокирами повинно",
917,745,6,"Ваше вміння володіння посохами",
91375,745,7,"Ваше вміння володіння посохами повинно",
918,746,6,"Ваше вміння володіння двуручным ударным зброєю",
919,747,6,"Ваше вміння володіння мечами",
91369,747,7,"Ваше вміння володіння мечами повинно",
920,748,6,"Ваше вміння володіння жезлами",
91356,748,7,"Ваше вміння володіння жезлами повинно",
921,749,6,"Ваше вміння володіння древковым зброєю",
91354,749,7,"Ваше вміння володіння древковым зброєю повинно",
922,750,6,"Ваше вміння володіння вогнепальною зброєю",
91371,750,7,"Ваше вміння володіння вогнепальною зброєю повинно",
923,751,6,"Ваше вміння володіння кистевым зброєю",
91361,751,7,"Ваше вміння володіння кистевым зброєю повинно",
924,752,6,"Ваше вміння володіння арбалетами",
91345,752,7,"Ваше вміння володіння арбалетами повинно",
925,753,6,"Ваше вміння володіння сокирами",
91380,753,7,"Ваше вміння володіння сокирами повинно",
926,754,6,"Ваше вміння володіння метальною зброєю",
91367,754,7,"Ваше вміння володіння метальною зброєю повинно",
927,755,6,"Ваше вміння володіння луками",
91366,755,7,"Ваше вміння володіння луками повинно",
928,756,6,"Ваше вміння володіння кинжалами",
91360,756,7,"Ваше вміння володіння кинжалами повинно",
929,757,6,"Ваше вміння володіння ударным зброєю",
930,758,6,"Ваше вміння володіння дворучними мечами",
91352,758,7,"Ваше вміння володіння дворучними мечами повинно",
931,759,6,"Ваше вміння бою двома руками",
91346,759,7,"Ваше вміння бою двома руками повинно",
932,760,6,"Ваше вміння захисту",
91358,760,7,"Ваше вміння захисту повинно",
133262,761,1,"зачарування",
133283,761,2,"зачаровування",
133304,761,3,"накладання чар",
133325,761,4,"наложением чар",
133346,761,5,"накладанні чар",
933,761,6,"Ваше вміння зачарування",
91370,761,7,"Ваше вміння зачарування повинно",
131938,761,8,"накладання чар",
133266,762,1,"ювелірної справи",
133287,762,2,"ювелірної справи",
133308,762,3,"ювелирное справа",
133329,762,4,"ювелірною справою",
133350,762,5,"ювелірній справі",
934,762,6,"Ваше знання ювелірної справи",
91382,762,7,"Ваше знання ювелірної справи повинно",
133261,763,1,"ковальська справа",
133282,763,2,"ковальської справи",
133303,763,3,"ковальській справі",
133324,763,4,"ковальською справою",
133345,763,5,"ковальській справі",
935,763,6,"Ваше знання ковальської справи",
91364,763,7,"Ваше знання ковальської справи повинно",
936,764,6,"Ваше знання механіки",
91368,764,7,"Ваше знання механіки повинно",
133260,765,1,"алхімії",
133281,765,2,"алхімії",
133302,765,3,"алхімію",
133323,765,4,"алхімією",
133344,765,5,"алхімії",
937,765,6,"Ваше знання алхімії",
91344,765,7,"Ваше знання алхімії повинно",
133265,766,1,"кравецької справи",
133286,766,2,"кравецькій справі",
133307,766,3,"кравецька праворуч",
133328,766,4,"кравецькою справою",
133349,766,5,"кравецькій справі",
938,766,6,"Ваше знання кравецької справи",
91374,766,7,"Ваше знання кравецької справи повинно",
133264,767,1,"кожевенного справи",
133285,767,2,"кожевенному справи",
133306,767,3,"кожевенное справа",
133327,767,4,"кожевенным справою",
133348,767,5,"кожевенном деле",
939,767,6,"Ваше знання кожевенного справи",
91362,767,7,"Ваше знання кожевенного справи повинно",
133267,768,1,"травництва",
133288,768,2,"травництва",
133309,768,3,"травництво",
133330,768,4,"травничеством",
133351,768,5,"травництві",
940,768,6,"Ваше вміння травництва",
91381,768,7,"Ваше вміння травництва повинно",
133268,769,1,"гірничої справи",
133289,769,2,"горному справи",
133310,769,3,"горное справа",
133331,769,4,"горным справою",
133352,769,5,"гірничій справі",
941,769,6,"Ваше знання гірничої справи",
91350,769,7,"Ваше знання гірничої справи повинно",
942,770,6,"Ваше вміння свежевания",
91378,770,7,"Ваше вміння свежевания повинно",
133271,771,1,"риболовлі",
133292,771,2,"рибной ловле",
133313,771,3,"рибную ловлю",
133334,771,4,"рибной ловлей",
133355,771,5,"рибной ловле",
943,771,6,"Ваше вміння риболовлі",
91377,771,7,"Ваше вміння риболовлі повинно",
944,772,6,"Ваше вміння кулінарії",
91365,772,7,"Ваше вміння кулінарії повинно",
133270,773,1,"першої допомоги",
133291,773,2,"першоій допомозі",
133312,773,3,"першу допомогу",
133333,773,4,"першою допомогою",
133354,773,5,"першій допомозі",
945,773,6,"Ваше вміння надання першої допомоги",
91372,773,7,"Ваше вміння надання першої допомоги повинно",
946,774,6,"Ваше вміння виживання",
91349,774,7,"Ваше вміння виживання повинно",
947,775,6,"Ваше вміння плавання",
91373,775,7,"Ваше вміння плавання повинно",
948,776,6,"Ваше вміння без зброї",
91376,776,7,"Ваше вміння без зброї повинно",
949,777,6,"фізичної шкоди",
1929,778,1,"Вогню",
1930,778,2,"Вогню",
1931,778,3,"Вогонь",
1932,778,4,"Вогнем",
1933,778,5,"Вогні",
950,778,6,"шкоди від вогню",
1969,779,1,"Льоду",
1970,779,2,"Льоду",
1971,779,3,"Лід",
1972,779,4,"Льдом",
1973,779,5,"Льоді",
951,779,6,"шкоди від магії льоду",
952,780,6,"шкоди від загадкової магії",
118552,780,7,"загадкової магії",
953,781,6,"шкоди від сил природи",
13583,782,1,"Тіні",
29165,782,2,"Тіні",
44747,782,3,"Тінь",
60329,782,4,"Тінню",
75911,782,5,"Тіні",
954,782,6,"шкоди від темної магії",
955,783,6,"шкоди від світлої магії",
956,784,6,"неизвестного шкоди",
957,785,1,"Мани",
91177,785,2,"Мані",
91178,785,3,"Ману",
91179,785,4,"Маною",
91180,785,5,"Мані",
145975,785,6,"мани",
958,786,1,"Люті",
91181,786,2,"Люті",
91182,786,3,"Лють",
91183,786,4,"Люттю",
91184,786,5,"Люті",
145976,786,6,"люті",
959,787,1,"Енергії",
91185,787,2,"Енергії",
91186,787,3,"Енергію",
91187,787,4,"Енергією",
91188,787,5,"Енергії",
145977,787,6,"енергії",
960,788,1,"Настрою",
91189,788,2,"Настрою",
91190,788,3,"Настрій",
91191,788,4,"Настроєм",
91192,788,5,"Настрої",
145978,788,6,"настрою",
961,789,1,"Рун",
145979,789,6,"рун",
962,790,1,"лічильника мановідбірника Сонячного Мандрівника",
993,790,2,"лічильнику мановідбірника Сонячного Мандрівника",
1024,790,3,"лічильник мановідбірника Сонячного Мандрівника",
1055,790,4,"лічильником мановідбірника Сонячного Мандрівника",
1086,790,5,"лічильнику мановідбірника Сонячного Мандрівника",
963,791,1,"Хранителя Колодязя Соланиана",
994,791,2,"Хранителю Колодязя Соланиану",
1025,791,3,"Хранителя Колодязя Соланиана",
1056,791,4,"хранителем Колодязя Соланианом",
1087,791,5,"Хранителе Колодязя Соланиане",
964,792,1,"порченого духа загадкової магії",
995,792,2,"порченому духу загадкової магії",
1026,792,3,"порченого духа загадкової магії",
1057,792,4,"порченым духом загадкової магії",
1088,792,5,"порченом духе загадкової магії",
965,793,1,"Детеныша прыголапа",
996,793,2,"Детенышу прыголапа",
1027,793,3,"Детеныша прыголапа",
1058,793,4,"Детенышем прыголапа",
1089,793,5,"Детеныше прыголапа",
966,794,1,"Змія Мани",
997,794,2,"змею Мани",
1028,794,3,"змія Мани",
1059,794,4,"змеем Мани",
1090,794,5,"змее Мани",
967,795,1,"зверопастыря",
998,795,2,"зверопастырю",
1029,795,3,"зверопастыря",
1060,795,4,"зверопастырем",
1091,795,5,"зверопастыре",
968,796,1,"Шары Солнечное Крыло",
999,796,2,"Шаре Сонячному Крылу",
1030,796,3,"Шару Солнечное Крыло",
1061,796,4,"Шарой Сонячним Крылом",
1092,796,5,"Шаре Сонячному Крыле",
969,797,1,"одичавшего зверопастыря",
1000,797,2,"одичавшему зверопастырю",
1031,797,3,"одичавшего зверопастыря",
1062,797,4,"одичавшии зверопастырем",
1093,797,5,"одичавшем зверопастыре",
970,798,1,"магистрессы Эрионы",
1001,798,2,"магистрессе Эрионе",
1032,798,3,"Магистрессу Эриону",
1063,798,4,"магистрессой Эрионой",
1094,798,5,"Магистрессе Эрионе",
971,799,1,"розвідника Кариэл",
1002,799,2,"розвіднику Кариэлу",
1033,799,3,"розвідника Кариэла",
1064,799,4,"розвідником Кариэлом",
1095,799,5,"розвіднику Кариэле",
972,800,1,"Фелендрена Изгоя",
1003,800,2,"Фелендрену Изгою",
1034,800,3,"Фелендрена Изгоя",
1065,800,4,"Фелендреном Изгоем",
1096,800,5,"Фелендрене Изгое",
973,801,1,"вартового з клану Сонячний Мандрівник",
1004,801,2,"вартовому з клану Сонячний Мандрівник",
1035,801,3,"вартового з клану Сонячний Мандрівник",
1066,801,4,"вартовим з клану Сонячний Мандрівник",
1097,801,5,"вартовому з клану Сонячний Мандрівник",
974,802,1,"Ясмин Тели-Лариен",
1005,802,2,"Ясмин Тели-Лариен",
1036,802,3,"Ясмин Тели-Лариен",
1067,802,4,"Ясмин Тели-Лариен",
1098,802,5,"Ясмине Тели-Лариен",
975,803,1,"Рыси-прыголапа",
1006,803,2,"Рыси-прыголапу",
1037,803,3,"Рысь-прыголапа",
1068,803,4,"Рысью-прыголапом",
1099,803,5,"Рыси-прыголапе",
976,804,1,"Джулии Удара Сонця",
1007,804,2,"Джулии Удару Сонця",
1038,804,3,"Джулию Удар Сонця",
1069,804,4,"Джулией Ударом Сонця",
1100,804,5,"Джулии Ударе Сонця",
977,805,1,"Марсиллы Рассветной Зірки",
1008,805,2,"Марсилле Рассветной Звезде",
1039,805,3,"Марсиллу Рассветную Звезду",
1070,805,4,"Марсиллой Рассветной Звездой",
1101,805,5,"Марсилле Рассветной Звезде",
978,806,1,"Раэлис Рассветной Зірки",
1009,806,2,"Раэлис Утренней Звезде",
1040,806,3,"Раэлис Рассветную Звезду",
1071,806,4,"Раэлис Рассветной Звездой",
1102,806,5,"Раэлис Рассветной Звезде",
979,807,1,"Джестениса Удара Сонця",
1010,807,2,"Джестенису Удару Сонця",
1041,807,3,"Джестениса Удар Сонця",
1072,807,4,"Джестенисом Ударом Сонця",
1103,807,5,"Джестенисе Ударе Сонця",
980,808,1,"смотрительницы Арины",
1011,808,2,"смотрительнице Арине",
1042,808,3,"смотрительницу Арину",
1073,808,4,"смотрительницей Ариной",
1104,808,5,"смотрительнице Арине",
981,809,1,"Джейн",
1012,809,2,"Джейн",
1043,809,3,"Джейн",
1074,809,4,"Джейн",
1105,809,5,"Джейн",
982,810,1,"Джессела",
1013,810,2,"Джесселу",
1044,810,3,"Джессела",
1075,810,4,"Джесселом",
1106,810,5,"Джесселе",
983,811,1,"Новы",
1014,811,2,"Нове",
1045,811,3,"Нову",
1076,811,4,"Новой",
1107,811,5,"Нове",
984,812,1,"Джейнтесс Тельрин",
1015,812,2,"Джейнтесс Тельрин",
1046,812,3,"Джейнтесс Тельрин",
1077,812,4,"Джейнтесс Тельрин",
1108,812,5,"Джейнтесс Тельрин",
985,813,1,"духа загадкової магії",
1016,813,2,"духу загадкової магії",
1047,813,3,"духа загадкової магії",
1078,813,4,"духом загадкової магії",
1109,813,5,"духе загадкової магії",
986,814,1,"Чарівника Итанаса",
1017,814,2,"Чародею Итанасу",
1048,814,3,"Чарівника Итанаса",
1079,814,4,"Чародеем Итанасом",
1110,814,5,"Чародее Итанасе",
987,815,1,"Чарівника Хелиона",
1018,815,2,"Чародею Хелиону",
1049,815,3,"Чарівника Хелиона",
1080,815,4,"Чародеем Хелионом",
1111,815,5,"Чародее Хелионе",
988,816,1,"Фараден Тельрин",
1019,816,2,"Фараден Тельрин",
1050,816,3,"Фараден Тельрин",
1081,816,4,"Фараден Тельрин",
1112,816,5,"Фараден Тельрин",
989,817,1,"егеря Саллина",
1020,817,2,"егерю Саллине",
1051,817,3,"егеря Саллину",
1082,817,4,"егерем Саллиной",
1113,817,5,"егере Саллине",
990,818,1,"Лантана Перилона",
1021,818,2,"Лантану Перилону",
1052,818,3,"Лантана Перилона",
1083,818,4,"Лантаном Перилоном",
1114,818,5,"Лантане Перилоне",
991,819,1,"Гонца Аларион",
1022,819,2,"Гонцу Аларион",
1053,819,3,"Гонца Аларион",
1084,819,4,"Гонцом Аларион",
1115,819,5,"Гонце Аларион",
992,820,1,"заклинателя Тели-Лариена",
1023,820,2,"заклинателю Тели-Лариену",
1054,820,3,"заклинателя Тели-Лариена",
1085,820,4,"заклинателем Тели-Лариеном",
1116,820,5,"заклинателе Тели-Лариене",
1117,821,1,"воїна",
1162,821,2,"воину",
1207,821,3,"воїна",
1252,821,4,"воїном",
1297,821,5,"воїні",
1756,821,6,"воїн",
1795,821,7,"воїни",
118967,821,8,"воїна",
1118,822,1,"паладина",
1163,822,2,"паладину",
