long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,,,,,,,,,"%s соглашается с |3-4(%s).",,,,,,,,0xFF01FE,
2,,,,,,,,,"%s соглашается с вами.",,,,,,,,0xFF01FE,
3,,,,,,,,,"Вы соглашаетесь с |3-4(%s).",,,,,,,,0xFF01FE,
4,,,,,,,,,"%s согласно кивает.",,,,,,,,0xFF01FE,
5,,,,,,,,,"Вы соглашаетесь.",,,,,,,,0xFF01FE,
6,,,,,,,,,"%s восхищается |3-4(%s)!",,,,,,,,0xFF01FE,
7,,,,,,,,,"%s восхищается вами!",,,,,,,,0xFF01FE,
8,,,,,,,,,"Вы восхищены |3-4(%s)!",,,,,,,,0xFF01FE,
9,,,,,,,,,"%s в восхищении!",,,,,,,,0xFF01FE,
10,,,,,,,,,"Вы восхищены!",,,,,,,,0xFF01FE,
11,,,,,,,,,"%s в гневе замахивается кулаком на |3-3(%s).",,,,,,,,0xFF01FE,
12,,,,,,,,,"%s в гневе замахивается на вас кулаком.",,,,,,,,0xFF01FE,
13,,,,,,,,,"Вы в гневе замахиваетесь кулаком на |3-3(%s).",,,,,,,,0xFF01FE,
14,,,,,,,,,"%s в гневе заносит кулак.",,,,,,,,0xFF01FE,
15,,,,,,,,,"Вы в гневе заносите кулак.",,,,,,,,0xFF01FE,
16,,,,,,,,,"%s в гневе замахивается на |3-3(%s).",,,,,,,,0xFF01FE,
17,,,,,,,,,"%s в гневе замахивается на вас кулаком.",,,,,,,,0xFF01FE,
18,,,,,,,,,"%s в гневе заносит кулак.",,,,,,,,0xFF01FE,
19,,,,,,,,,"%s извиняется перед |3-4(%s).",,,,,,,,0xFF01FE,
20,,,,,,,,,"%s извиняется перед вами. Простите!",,,,,,,,0xFF01FE,
21,,,,,,,,,"Вы извиняетесь перед |3-4(%s). Прости!",,,,,,,,0xFF01FE,
22,,,,,,,,,"%s просит у всех прощения. Простите!",,,,,,,,0xFF01FE,
23,,,,,,,,,"Вы просите у всех прощения. Извините!",,,,,,,,0xFF01FE,
24,,,,,,,,,"%s рукоплещет |3-2(%s). Браво!",,,,,,,,0xFF01FE,
25,,,,,,,,,"%s рукоплещет вам. Браво!",,,,,,,,0xFF01FE,
26,,,,,,,,,"Вы рукоплещете |3-2(%s). Браво!",,,,,,,,0xFF01FE,
27,,,,,,,,,"%s хлопает в ладоши. Браво!",,,,,,,,0xFF01FE,
28,,,,,,,,,"Вы аплодируете. Браво!",,,,,,,,0xFF01FE,
29,,,,,,,,,"%s стесняется привлечь внимание |3-1(%s).",,,,,,,,0xFF01FE,
30,,,,,,,,,"%s стесняется привлечь ваше внимание.",,,,,,,,0xFF01FE,
31,,,,,,,,,"Вы слишком застенчивы, чтобы привлечь внимание |3-1(%s).",,,,,,,,0xFF01FE,
32,,,,,,,,,"%s краснеет.",,,,,,,,0xFF01FE,
33,,,,,,,,,"Вы краснеете.",,,,,,,,0xFF01FE,
34,,,,,,,,,"%s жестом подзывает |3-3(%s).",,,,,,,,0xFF01FE,
35,,,,,,,,,"%s жестом подзывает вас.",,,,,,,,0xFF01FE,
36,,,,,,,,,"Вы жестом подзываете |3-3(%s).",,,,,,,,0xFF01FE,
37,,,,,,,,,"%s жестом подзывает всех.",,,,,,,,0xFF01FE,
38,,,,,,,,,"Вы жестом подзываете всех к себе.",,,,,,,,0xFF01FE,
39,,,,,,,,,"%s умоляет |3-3(%s). Ничтожество!",,,,,,,,0xFF01FE,
40,,,,,,,,,"%s с мольбой смотрит на вас. Выглядит жалко.",,,,,,,,0xFF01FE,
41,,,,,,,,,"Вы с мольбой смотрите на |3-3(%s). Выглядит жалко.",,,,,,,,0xFF01FE,
42,,,,,,,,,"%s умоляет всех. Жалкое зрелище!",,,,,,,,0xFF01FE,
43,,,,,,,,,"Вы с мольбой смотрите на окружающих. Выглядит жалко.",,,,,,,,0xFF01FE,
44,,,,,,,,,"%s с мольбой смотрит на окружающих. Выглядит жалко.",,,,,,,,0xFF01FE,
45,,,,,,,,,"%s кусает |3-3(%s). Ой!",,,,,,,,0xFF01FE,
46,,,,,,,,,"%s кусает вас. Ой!",,,,,,,,0xFF01FE,
47,,,,,,,,,"Вы кусаете |3-3(%s). Ох!",,,,,,,,0xFF01FE,
48,,,,,,,,,"%s ищет, кого бы покусать.",,,,,,,,0xFF01FE,
49,,,,,,,,,"Вы ищете, кого бы укусить.",,,,,,,,0xFF01FE,
50,,,,,,,,,"Раны |3-1(%s) кровоточат.",,,,,,,,0xFF01FE,
51,,,,,,,,,"Ваши раны кровоточат.",,,,,,,,0xFF01FE,
52,,,,,,,,,"%s моргает, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
53,,,,,,,,,"%s моргает, глядя на вас.",,,,,,,,0xFF01FE,
54,,,,,,,,,"Вы моргаете, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
55,,,,,,,,,"%s моргает.",,,,,,,,0xFF01FE,
56,,,,,,,,,"Вы моргаете.",,,,,,,,0xFF01FE,
57,,,,,,,,,"%s заливается краской при виде |3-1(%s).",,,,,,,,0xFF01FE,
58,,,,,,,,,"%s вспыхивает при виде вас.",,,,,,,,0xFF01FE,
59,,,,,,,,,"Вы заливаетесь краской при виде |3-1(%s).",,,,,,,,0xFF01FE,
60,,,,,,,,,"%s заливается краской.",,,,,,,,0xFF01FE,
61,,,,,,,,,"Вы заливаетесь краской.",,,,,,,,0xFF01FE,
62,,,,,,,,,"%s бьет |3-3(%s) по голове. Буммм!",,,,,,,,0xFF01FE,
63,,,,,,,,,"%s бьет вас по голове. Буммм!",,,,,,,,0xFF01FE,
64,,,,,,,,,"Вы бьете |3-3(%s) по голове. Буммм!",,,,,,,,0xFF01FE,
65,,,,,,,,,"%s бьет себя по голове. Буммм!",,,,,,,,0xFF01FE,
66,,,,,,,,,"Вы стукаетесь головой. Буммм!",,,,,,,,0xFF01FE,
67,,,,,,,,,"%s бьет себя по голове. Буммм!",,,,,,,,0xFF01FE,
68,,,,,,,,,"%2$s окончательно утомляет |3-3(%1$s).",,,,,,,,0xFF01FE,
69,,,,,,,,,"Вы окончательно утомили |3-3(%s).",,,,,,,,0xFF01FE,
70,,,,,,,,,"Общение с |3-4(%s) вас основательно утомило.",,,,,,,,0xFF01FE,
71,,,,,,,,,"%s изнывает от скуки. Какое занудство!",,,,,,,,0xFF01FE,
72,,,,,,,,,"Вы изнываете от скуки. Какое занудство!",,,,,,,,0xFF01FE,
73,,,,,,,,,"%s прыгает на месте перед |3-4(%s).",,,,,,,,0xFF01FE,
74,,,,,,,,,"%s прыгает на месте перед вами.",,,,,,,,0xFF01FE,
75,,,,,,,,,"Вы прыгаете на месте перед |3-4(%s).",,,,,,,,0xFF01FE,
76,,,,,,,,,"%s прыгает на месте.",,,,,,,,0xFF01FE,
77,,,,,,,,,"Вы подпрыгиваете на месте.",,,,,,,,0xFF01FE,
78,,,,,,,,,"%s сейчас вернется. Держись, %s!",,,,,,,,0xFF01FE,
79,,,,,,,,,"%s сейчас вернется. Держитесь!",,,,,,,,0xFF01FE,
80,,,,,,,,,"Вы показываете |3-2(%s), что сейчас вернетесь.",,,,,,,,0xFF01FE,
81,,,,,,,,,"%s сейчас вернется.",,,,,,,,0xFF01FE,
82,,,,,,,,,"Вы даете всем понять, что сейчас вернетесь.",,,,,,,,0xFF01FE,
