long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
28,"Чи надав ГМ відповідь на ваші питання або рішення вашої проблеми?",,,,,,,,"Чи надав ГМ відповідь на ваші питання або рішення вашої проблеми?",,,,,,,,0xFF01FE,
29,"Наскільки просто вам було зрозуміти отриману відповідь і/або слідувати інструкціям?",,,,,,,,"Наскільки просто вам було зрозуміти отриману відповідь і/або слідувати інструкціям?",,,,,,,,0xFF01FE,
30,"Чи проявив ГМ компетентність, повагу і доброту при спілкуванні з вами?",,,,,,,,"Чи проявив ГМ компетентність, повагу і доброту при спілкуванні з вами?",,,,,,,,0xFF01FE,
31,"Як ви оцінюєте терміни відповіді на ваш запит?",,,,,,,,"Як ви оцінюєте терміни відповіді на ваш запит?",,,,,,,,0xFF01FE,
32,"Як ви оцінюєте загальне враження від роботи гейм-майстра з вашим запитом?",,,,,,,,"Як ви оцінюєте загальне враження від роботи гейм-майстра з вашим запитом?",,,,,,,,0xFF01FE,
33,"Стали би ви рекомендувати WoW іншим гравцям, на основі враження від роботи служби підтримки?",,,,,,,,"Стали би ви рекомендувати WoW іншим гравцям, на основі враження від роботи служби підтримки?",,,,,,,,0xFF01FE,
35,"Виходячи з отриманого досвіду спілкування з службою підтримки, чи готові ви порекомендувати продукцію і послуги Blizzard своїм знайомим?",,,,,,,,"Виходячи з отриманого досвіду спілкування з службою підтримки, чи готові ви порекомендувати продукцію і послуги Blizzard своїм знайомим?",,,,,,,,0xFF01FE,
36,"Чи була ваша проблема вирішена?",,,,,,,,"Чи була ваша проблема вирішена?",,,,,,,,0xFF01FE,
37,"Загальний рівень роботи служби підтримки Blizzard:",,,,,,,,"Загальний рівень роботи служби підтримки Blizzard:",,,,,,,,0xFF01FE,
38,"Час очікування відповіді від служби підтримки Blizzard:",,,,,,,,"Час очікування відповіді від служби підтримки Blizzard:",,,,,,,,0xFF01FE,
39,"Професіоналізм представника служби підтримки Blizzard:",,,,,,,,"Професіоналізм представника служби підтримки Blizzard:",,,,,,,,0xFF01FE,
40,"Вміння спілкуватися представника служби підтримки Blizzard:",,,,,,,,"Вміння спілкуватися представника служби підтримки Blizzard:",,,,,,,,0xFF01FE,
41,"Загальне враження від роботи представника служби підтримки Blizzard:",,,,,,,,"Загальне враження від роботи представника служби підтримки Blizzard:",,,,,,,,0xFF01FE,
