long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
0,,,,,,,,,"<not set>",,,,,,,,0xFF01FE,
1,,,,,,,,,"Застревание персонажа",,,,,,,,0xFF01FE,
2,,,,,,,,,"Оскорбление или некорректное поведение",,,,,,,,0xFF01FE,
3,,,,,,,,,"Проблемы с гильдией",,,,,,,,0xFF01FE,
4,,,,,,,,,"Проблемы с предметами",,,,,,,,0xFF01FE,
5,,,,,,,,,"Проблемы с окружающим миром",,,,,,,,0xFF01FE,
6,,,,,,,,,"Проблемы с NPC или монстрами",,,,,,,,0xFF01FE,
7,,,,,,,,,"Проблемы с заданиями или NPC, дающими задания",,,,,,,,0xFF01FE,
8,,,,,,,,,"Технические проблемы",,,,,,,,0xFF01FE,
9,,,,,,,,,"Вопросы по учетной записи/оплате",,,,,,,,0xFF01FE,
10,,,,,,,,,"Проблемы с персонажем",,,,,,,,0xFF01FE,
11,,,,,,,,,"Арена/Проблемы с приобретением призов за очки чести",,,,,,,,0xFF01FE,
12,,,,,,,,,"Арена/Проблемы с получением очков чести",,,,,,,,0xFF01FE,
13,,,,,,,,,"Использование ботов/мошенничество/взлом",,,,,,,,0xFF01FE,
14,,,,,,,,,"Сообщение об ошибке",,,,,,,,0xFF01FE,
15,,,,,,,,,"Вопросы, связанные с безопасностью учетной записи",,,,,,,,0xFF01FE,
16,,,,,,,,,"Предложения по игре",,,,,,,,0xFF01FE,
17,,,,,,,,,"Вопросы по игровому процессу",,,,,,,,0xFF01FE,
18,,,,,,,,,"Проблемы с банком гильдии",,,,,,,,0xFF01FE,
19,,,,,,,,,"Проблемы с управлением гильдией",,,,,,,,0xFF01FE,
20,,,,,,,,,"Жалоба на некорректное поведение",,,,,,,,0xFF01FF,
21,,,,,,,,,"Некорректное название гильдии/команды арены/персонажа/питомца",,,,,,,,0xFF01FE,
22,,,,,,,,,"Исправление известной проблемы",,,,,,,,0xFF01FE,
23,,,,,,,,,"Сообщение о задержке отклика сервера/запаздывании",,,,,,,,0xFF01FE,
24,,,,,,,,,"Проблемы/ошибки получения добычи",,,,,,,,0xFF01FE,
25,,,,,,,,,"Проблемы с почтой",,,,,,,,0xFF01FE,
26,,,,,,,,,"Запрос, не связанный с игровым процессом",,,,,,,,0xFF01FE,
27,,,,,,,,,"Контроль со стороны родителей",,,,,,,,0xFF01FE,
28,,,,,,,,,"Платное переименование персонажей",,,,,,,,0xFF01FE,
29,,,,,,,,,"Платный перенос персонажей",,,,,,,,0xFF01FE,
30,,,,,,,,,"Статус восстановления/следования",,,,,,,,0xFF01FE,
31,,,,,,,,,"Проблемы с сервером/специальной областью",,,,,,,,0xFF01FE,
32,,,,,,,,,"Спам",,,,,,,,0xFF01FE,
33,,,,,,,,,"Угрозы самоубийста",,,,,,,,0xFF01FE,
34,,,,,,,,,"Проблемы с зависанием",,,,,,,,0xFF01FE,
35,,,,,,,,,"Технические/графические/звуковые проблемы",,,,,,,,0xFF01FE,
36,,,,,,,,,"Проблемы с интерфейсом",,,,,,,,0xFF01FE,
37,,,,,,,,,"Сообщение о мошенничестве",,,,,,,,0xFF01FF,
