long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
396,"|cffffd100Порада:|r Знаками питання на мінікарті позначаються найближчі персонажі, які дали вам завдання і тепер чекають вашого повернення.",,,,,,,,"|cffffd100Порада:|r Знаками питання на мінікарті позначаються найближчі персонажі, які дали вам завдання і тепер чекають вашого повернення.",,,,,,,,0xFF01FE,
201,"|cffffd100Порада:|r Щоб перервати заклинання, перемістіться, підстрибніть або натисніть клавішу Esc.",,,,,,,,"|cffffd100Порада:|r Щоб перервати заклинання, перемістіться, підстрибніть або натисніть клавішу Esc.",,,,,,,,0xFF01FE,
221,"|cffffd100Порада:|r Клацнувши на ім'я гравця у вікні чату, ви зможете надіслати особисте повідомлення цьому гравцеві.",,,,,,,,"|cffffd100Порада:|r Клацнувши на ім'я гравця у вікні чату, ви зможете надіслати особисте повідомлення цьому гравцеві.",,,,,,,,0xFF01FE,
258,"|cffffd100Порада:|r Щоб отримати додаткові відомості про гравця, клацніть на його ім'я у вікні чату, натиснувши клавішу Shift.",,,,,,,,"|cffffd100Порада:|r Щоб отримати додаткові відомості про гравця, клацніть на його ім'я у вікні чату, натиснувши клавішу Shift.",,,,,,,,0xFF01FE,
222,"|cffffd100Порада:|r Щоб подивитися, як предмет буде виглядати на вашому персонажі, клацніть по цьому предмету при натиснутій клавіші Ctrl.",,,,,,,,"|cffffd100Порада:|r Щоб подивитися, як предмет буде виглядати на вашому персонажі, клацніть по цьому предмету при натиснутій клавіші Ctrl.",,,,,,,,0xFF01FE,
223,"|cffffd100Порада:|r Якщо назва предмета написана сірим кольором, значить, цей предмет низької якості. Зазвичай такі речі продають торговцям.",,,,,,,,"|cffffd100Порада:|r Якщо назва предмета написана сірим кольором, значить, цей предмет низької якості. Зазвичай такі речі продають торговцям.",,,,,,,,0xFF01FE,
224,"|cffffd100Порада:|r Якщо назва предмета написана білим кольором, значить, він може бути корисний. Ви можете використовувати цей предмет самі або виставити його на аукціон.",,,,,,,,"|cffffd100Порада:|r Якщо назва предмета написана білим кольором, значить, він може бути корисний. Ви можете використовувати цей предмет самі або виставити його на аукціон.",,,,,,,,0xFF01FE,
225,"|cffffd100Порада:|r У будь-якій поштовій скриньці можна залишити лист для іншого гравця або вашого альтернативного персонажа.",,,,,,,,"|cffffd100Порада:|r У будь-якій поштовій скриньці можна залишити лист для іншого гравця або вашого альтернативного персонажа.",,,,,,,,0xFF01FE,
226,"|cffffd100Порада:|r У повідомлення можна вставити посилання на який-небудь ігровий предмет. Для цього клацніть по потрібному предмету при натиснутій клавіші Shift.",,,,,,,,"|cffffd100Порада:|r У повідомлення можна вставити посилання на який-небудь ігровий предмет. Для цього клацніть по потрібному предмету при натиснутій клавіші Shift.",,,,,,,,0xFF01FE,
384,"|cffffd100Порада:|r Щоб скасувати благотворне заклинання, що діє на вас, клацніть по його значку правою кнопкою миші.",,,,,,,,"|cffffd100Порада:|r Щоб скасувати благотворне заклинання, що діє на вас, клацніть по його значку правою кнопкою миші.",,,,,,,,0xFF01FE,
282,"|cffffd100Порада:|r Коли ви опановуєте професійні та допоміжні навички, у книзі заклинань з'являються відповідні значки.",,,,,,,,"|cffffd100Порада:|r Коли ви опановуєте професійні та допоміжні навички, у книзі заклинань з'являються відповідні значки.",,,,,,,,0xFF01FE,
227,"|cffffd100Порада:|r Ви можете перепризначити клавіші керування в меню призначення клавіш.",,,,,,,,"|cffffd100Порада:|r Ви можете перепризначити клавіші керування в меню призначення клавіш.",,,,,,,,0xFF01FE,
229,"|cffffd100Порада:|r У вікні персонажа є вкладка ""Репутація"". На ній показано, як до вас ставляться різні фракції.",,,,,,,,"|cffffd100Порада:|r У вікні персонажа є вкладка ""Репутація"". На ній показано, як до вас ставляться різні фракції.",,,,,,,,0xFF01FE,
263,"|cffffd100Порада:|r Ви можете вибрати супротивника, що знаходитися перед вами, натиснувши клавішу Tab. За допомогою цієї ж клавіші ви можете перемикатися між противниками, якщо їх кілька.",,,,,,,,"|cffffd100Порада:|r Ви можете вибрати супротивника, що знаходитися перед вами, натиснувши клавішу Tab. За допомогою цієї ж клавіші ви можете перемикатися між противниками, якщо їх кілька.",,,,,,,,0xFF01FE,
321,"|cffffd100Порада:|r Якщо ви заблукали у великому місті, спробуйте запитати дорогу у вартового.",,,,,,,,"|cffffd100Порада:|r Якщо ви заблукали у великому місті, спробуйте запитати дорогу у вартового.",,,,,,,,0xFF01FE,
