long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,"В тихий Елвіннський Ліс приїхав Ярмарок Темного Місяця!

Познайомся з Сайласом Даркмуном і його трупою, випробуй свою сміливість та спритність і помилуйся розкішними видами зі всього Азероту і за його межами!",,,,,,,,"В тихий Елвіннський Ліс приїхав Ярмарок Темного Місяця!

Познайомся з Сайласом Даркмуном і його трупою, випробуй свою сміливість та спритність і помилуйся розкішними видами зі всього Азероту і за його межами!",,,,,,,,0xFF01FE,
2,"Азерот святкує Новий Рік!",,,,,,,,"Азерот святкує Новий Рік!",,,,,,,,0xFF01FE,
4,"Турнір риболовів збирає кращих майстрів в Тернистій долині. Спіймай як можна більше смачних риб – і стань чемпіоном!

Чи зможеш ти виграти головний приз, швидче всіх виловивши сорок блискучих рибин?",,,,,,,,"Турнір риболовів збирає кращих майстрів в Тернистій долині. Спіймай як можна більше смачних риб – і стань чемпіоном!

Чи зможеш ти виграти головний приз, швидче всіх виловивши сорок блискучих рибин?",,,,,,,,0xFF01FE,
8,"Першими Хмільний фестиваль стали проводити дворфи, але він завоював популярність і у всіх інших жителів Азероту.

Відвідай табір Альянсу біля Стальгорну або зазирни в намет Орди поруч з Оргрімаром – головне, не пропусти веселощі!",,,,,,,,"Першими Хмільний фестиваль стали проводити дворфи, але він завоював популярність і у всіх інших жителів Азероту.

Відвідай табір Альянсу біля Стальгорну або зазирни в намет Орди поруч з Оргрімаром – головне, не пропусти веселощі!",,,,,,,,0xFF01FE,
9,"Любовна лихоманка охопила усі великі міста Азероту. Забуті сварки і чвари; містяни і варта обмінюються поцілунками й подарунками!",,,,,,,,"Любовна лихоманка охопила усі великі міста Азероту. Забуті сварки і чвари; містяни і варта обмінюються поцілунками й подарунками!",,,,,,,,0xFF01FE,
10,"Давайте весело відсвяткуємо настання самого жаркого часу року!",,,,,,,,"Давайте весело відсвяткуємо настання самого жаркого часу року!",,,,,,,,0xFF01FE,
11,"Фестиваль купальських вогнів святкується після заходу сонця.

Полюбуйся розкішним феєрверком в одній із столиць Азероту або в Піратській Бухті.",,,,,,,,"Фестиваль купальських вогнів святкується після заходу сонця.

Полюбуйся розкішним феєрверком в одній із столиць Азероту або в Піратській Бухті.",,,,,,,,0xFF01FE,
12,"Покажи сирітці життя справжнього шукача пригод! Загляни до піклувальниці сиріт Найтінгейл в Штормвінді, до піклувальниці сиріт Батлвейл в Оргріммарі або до піклувальниці сиріт Міле в Шаттраті і виконай найпотаємніші мрії маленьких діточок!",,,,,,,,"Покажи сирітці життя справжнього шукача пригод! Загляни до піклувальниці сиріт Найтінгейл в Штормвінді, до піклувальниці сиріт Батлвейл в Оргріммарі або до піклувальниці сиріт Міле в Шаттраті і виконай найпотаємніші мрії маленьких діточок!",,,,,,,,0xFF01FE,
13,"Скоро в Стальгорн і Оргріммар завітає Дідусь Зима. Він везе нам подарунки з Пасовищ Димчастого Лісу! Веселись, Азерот, настає Новий Рік!",,,,,,,,"Скоро в Стальгорн і Оргріммар завітає Дідусь Зима. Він везе нам подарунки з Пасовищ Димчастого Лісу! Веселись, Азерот, настає Новий Рік!",,,,,,,,0xFF01FE,
14,"По всьому Азероту починається святкування Саду чудес! Юні герої, випробуйте свої сили в цей чарівний час, коли в кожному затишному містечку можна знайти яйце з подарунком. Скільки вдасться знайти вам?",,,,,,,,"По всьому Азероту починається святкування Саду чудес! Юні герої, випробуйте свої сили в цей чарівний час, коли в кожному затишному містечку можна знайти яйце з подарунком. Скільки вдасться знайти вам?",,,,,,,,0xFF01FE,
15,"На Геловін ми святкуємо звільнення Покинутих від Бича.

У всіх тавернах Азероту тебе чекають жарти, сміх і солодощі!",,,,,,,,"На Геловін ми святкуємо звільнення Покинутих від Бича.

У всіх тавернах Азероту тебе чекають жарти, сміх і солодощі!",,,,,,,,0xFF01FE,
16,"Тиждень врожаю – це час згадати про тих, хто загинув на полі битви, захищаючи друзів і союзників. Ми накриваємо столи біля Стальгорну і Оргріммару, щоб вшанувати пам'ять павших героїв.",,,,,,,,"Тиждень врожаю – це час згадати про тих, хто загинув на полі битви, захищаючи друзів і союзників. Ми накриваємо столи біля Стальгорну і Оргріммару, щоб вшанувати пам'ять павших героїв.",,,,,,,,0xFF01FE,
17,"Кожен рік друїди Місячної галявини влаштовують святкування з нагоди великої перемоги над древнім злом. Під час Місячного фестивалю жителі Азероту відвідують своїх предків і долучаються до їх мудрості, від душі бенкетують і, зрозуміло... запускають феєрверки!",,,,,,,,"Кожен рік друїди Місячної галявини влаштовують святкування з нагоди великої перемоги над древнім злом. Під час Місячного фестивалю жителі Азероту відвідують своїх предків і долучаються до їх мудрості, від душі бенкетують і, зрозуміло... запускають феєрверки!",,,,,,,,0xFF01FE,
18,"Хмільний фестиваль – пора хорошого настрою. Першими його стали проводити дворфи, але він набув популярності у всьому світі.",,,,,,,,"Хмільний фестиваль – пора хорошого настрою. Першими його стали проводити дворфи, але він набув популярності у всьому світі.",,,,,,,,0xFF01FE,
21,"Капітан де Меза захопила гоблінську Піратську Бухту і запрошує всіх сухопутних салаг приєднатися до її команди. 

Якщо тобі до душі життя пірата – завербуйся на її корабель! Пірати з її банди бродять по всіх великих містах Азероту.",,,,,,,,"Капітан де Меза захопила гоблінську Піратську Бухту і запрошує всіх сухопутних салаг приєднатися до її команди. 

Якщо тобі до душі життя пірата – завербуйся на її корабель! Пірати з її банди бродять по всіх великих містах Азероту.",,,,,,,,0xFF01FE,
22,"Не стихають бої в Альтеракській долині... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,"Не стихають бої в Альтеракській долині... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,0xFF01FE,
23,"Не стихають бої в Низовині Араті... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,"Не стихають бої в Низовині Араті... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,0xFF01FE,
24,"Не стихають бої на Оці Бурі... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,"Не стихають бої на Оці Бурі... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,0xFF01FE,
25,"Не стихають бої в Ущелині Пісні Війни... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,"Не стихають бої в Ущелині Пісні Війни... Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,0xFF01FE,
26,"До підніжжя Громового Перевалу приїхав Ярмарок Темного Місяця!

Познайомся з Сайласом Даркмуном і його трупою, випробуй свою сміливість та спритність і помилуйся розкішними видами зі всього Азероту і за його межами!",,,,,,,,"До підніжжя Громового Перевалу приїхав Ярмарок Темного Місяця!

Познайомся з Сайласом Даркмуном і його трупою, випробуй свою сміливість та спритність і помилуйся розкішними видами зі всього Азероту і за його межами!",,,,,,,,0xFF01FE,
27,"В Шаттрат приїхав Ярмарок Темного Місяця!

Познайомся з Сайласом Даркмуном і його трупою, випробуй свою сміливість та спритність і помилуйся розкішними видами зі всього Азероту і за його межами!",,,,,,,,"В Шаттрат приїхав Ярмарок Темного Місяця!

Познайомся з Сайласом Даркмуном і його трупою, випробуй свою сміливість та спритність і помилуйся розкішними видами зі всього Азероту і за його межами!",,,,,,,,0xFF01FE,
41,"Не стихають бої на Березі Древніх. Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,"Не стихають бої на Березі Древніх. Вічна слава відважним воїнам, тим, хто воює на полі битви.",,,,,,,,0xFF01FE,
