long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,"Ярмарок Темного Місяця",,,,,,,,"Ярмарок Темного Місяця",,,,,,,,0xFF01FE,
5,"Свято феєрверків",,,,,,,,"Свято феєрверків",,,,,,,,0xFF01FE,
6,"Рибоманія Тернистої долини",,,,,,,,"Рибоманія Тернистої долини",,,,,,,,0xFF01FE,
7,"Хмільний фестиваль",,,,,,,,"Хмільний фестиваль",,,,,,,,0xFF01FE,
9,"Любовна лихоманка",,,,,,,,"Любовна лихоманка",,,,,,,,0xFF01FE,
11,"Фестиваль Купальських Вогнів",,,,,,,,"Фестиваль Купальських Вогнів",,,,,,,,0xFF01FE,
12,"Видовищний феєрверк",,,,,,,,"Видовищний феєрверк",,,,,,,,0xFF01FE,
13,"Дитячий тиждень",,,,,,,,"Дитячий тиждень",,,,,,,,0xFF01FE,
14,"Зимовий Покров",,,,,,,,"Зимовий Покров",,,,,,,,0xFF01FE,
15,"Сад чудес",,,,,,,,"Сад чудес",,,,,,,,0xFF01FE,
16,"Геловін",,,,,,,,"Геловін",,,,,,,,0xFF01FE,
17,"Тиждень врожаю",,,,,,,,"Тиждень врожаю",,,,,,,,0xFF01FE,
18,"Місячний фестиваль",,,,,,,,"Місячний фестиваль",,,,,,,,0xFF01FE,
19,"Хмільний фестиваль",,,,,,,,"Хмільний фестиваль",,,,,,,,0xFF01FE,
21,"День пірата",,,,,,,,"День пірата",,,,,,,,0xFF01FE,
22,"Заклик до бою! Альтеракська Долина",,,,,,,,"Заклик до бою! Альтеракська Долина",,,,,,,,0xFF01FE,
23,"Заклик до бою! Низовина Араті",,,,,,,,"Заклик до бою! Низовина Араті",,,,,,,,0xFF01FE,
24,"Заклик до бою! Око Бурі",,,,,,,,"Заклик до бою! Око Бурі",,,,,,,,0xFF01FE,
25,"Заклик до бою! Ущелина Пісні Війни",,,,,,,,"Заклик до бою! Ущелина Пісні Війни",,,,,,,,0xFF01FE,
41,"Заклик до бою! Берег Древніх",,,,,,,,"Заклик до бою! Берег Древніх",,,,,,,,0xFF01FE,
61,"Wrath of the Lich King",,,,,,,,"Wrath of the Lich King",,,,,,,,0xFF01FE,
81,"День Мертвих",,,,,,,,"День Мертвих",,,,,,,,0xFF01FE,
101,"Бенкет мандрівників",,,,,,,,"Бенкет мандрівників",,,,,,,,0xFF01FE,
121,"Заклик до бою! Острів Завоювань",,,,,,,,"Заклик до бою! Острів Завоювань",,,,,,,,0xFF01FE,
141,"Реклама ірокеза",,,,,,,,"Реклама ірокеза",,,,,,,,0xFF01FE,
161,"Калуакське рибальство",,,,,,,,"Калуакське рибальство",,,,,,,,0xFF01FE,
