long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
0,,,,,,,,,"НЕТ",,,,,,,,0xFF01FE,
1,,,,,,,,,"Стрелы",,,,,,,,0xFF01FE,
2,,,,,,,,,"Пули",,,,,,,,0xFF01FE,
3,,,,,,,,,"Камни душ",,,,,,,,0xFF01FE,
4,,,,,,,,,"Товары для кожевников",,,,,,,,0xFF01FE,
5,,,,,,,,,"Письменные принадлежности",,,,,,,,0xFF01FF,
6,,,,,,,,,"Травы",,,,,,,,0xFF01FE,
7,,,,,,,,,"Товары для наложения чар",,,,,,,,0xFF01FE,
8,,,,,,,,,"Инженерные материалы",,,,,,,,0xFF01FE,
9,,,,,,,,,"Ключи",,,,,,,,0xFF01FE,
10,,,,,,,,,"Самоцветы",,,,,,,,0xFF01FE,
11,,,,,,,,,"Товары для горного дела",,,,,,,,0xFF01FE,
12,,,,,,,,,"Персональное снаряжение",,,,,,,,0xFF01FE,
13,,,,,,,,,"Спутники",,,,,,,,0xFF01FE,
14,,,,,,,,,"Обменные жетоны",,,,,,,,0xFF01FE,
15,,,,,,,,,"Предм. для заданий",,,,,,,,0xFF01FE,
