long,long,long,long,long,long,long,long,long,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
0,0,-1,-1,0,3,3,2,3,0x0,"Витратне",,,,,,,,"Витратне",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
0,5,-1,-1,0,1,3,2,3,0x0,"Їжа та напої",,,,,,,,"Їжа та напої",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
0,1,-1,-1,0,1,3,2,3,0x0,"Зілля",,,,,,,,"Зілля",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
0,2,-1,-1,0,1,3,2,3,0x0,"Еліксири",,,,,,,,"Еліксири",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
0,3,-1,-1,0,1,3,2,3,0x0,"Настоянки",,,,,,,,"Настоянки",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
0,7,-1,-1,0,1,3,2,3,0x0,"Бинти",,,,,,,,"Бинти",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
0,6,-1,-1,0,1,3,2,3,0x0,"Покращення",,,,,,,,"Покращення",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
0,4,-1,-1,0,1,3,2,3,0x0,"Сувої",,,,,,,,"Сувої",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
0,8,-1,-1,0,1,3,2,3,0x0,"Інше",,,,,,,,"Інше",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,0,-1,-1,0,0,0,0,3,0x0,"Сумка",,,,,,,,"Сумка",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
1,1,-1,-1,0,4,0,0,3,0x0,"Сумка душ",,,,,,,,"Сумка душ",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,2,-1,-1,0,0,0,0,3,0x0,"Сумка травника",,,,,,,,"Сумка травника",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,3,-1,-1,0,0,0,0,3,0x0,"Сумка зачарувателя",,,,,,,,"Сумка зачарувателя",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,4,-1,-1,0,0,0,0,3,0x0,"Сумка інженера",,,,,,,,"Сумка інженера",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,5,-1,-1,0,0,0,0,3,0x0,"Сумка ювеліра",,,,,,,,"Сумка ювеліра",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,6,-1,-1,0,0,0,0,3,0x0,"Сумка гірника",,,,,,,,"Сумка гірника",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,7,-1,-1,0,0,0,0,3,0x0,"Сумка шкірника",,,,,,,,"Сумка шкірника",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
1,8,-1,-1,0,0,3,0,3,0x0,"Сумка кресляра",,,,,,,,"Сумка кресляра",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
2,0,-1,1,3,0,2,2,3,0x1,"Сокира",,,,,,,,"Сокира",,,,,,,,0xFF01FE,"Одноручні сокири",,,,,,,,"Одноручні сокири",,,,,,,,0xFF01FE,
2,1,0,-1,3,0,0,0,0,0x2,"Сокира",,,,,,,,"Сокира",,,,,,,,0xFF01FE,"Дворучні сокири",,,,,,,,"Дворучні сокири",,,,,,,,0xFF01FE,
2,2,-1,-1,128,0,3,3,2,0x1,"Лук",,,,,,,,"Лук",,,,,,,,0xFF01FE,"Луки",,,,,,,,"Луки",,,,,,,,0xFF01FE,
2,3,-1,-1,168,0,3,4,4,0x1,"Вогнепальне",,,,,,,,"Вогнепальне",,,,,,,,0xFF01FE,"Вогнепальне",,,,,,,,"Вогнепальне",,,,,,,,0xFF01FE,
2,4,-1,5,3,0,2,2,3,0x1,"Булава",,,,,,,,"Булава",,,,,,,,0xFF01FE,"Одноручна булава",,,,,,,,"Одноручна булава",,,,,,,,0xFF01FE,
2,5,4,-1,3,0,0,0,0,0x2,"Булава",,,,,,,,"Булава",,,,,,,,0xFF01FE,"Дворучна булава",,,,,,,,"Дворучна булава",,,,,,,,0xFF01FE,
2,6,-1,-1,3,0,1,1,1,0x2,"Списи",,,,,,,,"Списи",,,,,,,,0xFF01FE,"Списи",,,,,,,,"Списи",,,,,,,,0xFF01FE,
2,7,-1,8,3,0,2,2,3,0x1,"Меч",,,,,,,,"Меч",,,,,,,,0xFF01FE,"Одноручні мечі",,,,,,,,"Одноручні мечі",,,,,,,,0xFF01FE,
2,8,7,-1,3,0,0,0,0,0x2,"Меч",,,,,,,,"Меч",,,,,,,,0xFF01FE,"Дворучні мечі",,,,,,,,"Дворучні мечі",,,,,,,,0xFF01FE,
2,9,-1,-1,0,3,3,2,3,0x1,"Застаріле",,,,,,,,"Застаріле",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
2,10,-1,-1,3,0,1,1,1,0x2,"Посох",,,,,,,,"Посох",,,,,,,,0xFF01FE,"Посохи",,,,,,,,"Посохи",,,,,,,,0xFF01FE,
2,11,-1,12,0,3,3,2,3,0x1,"Екзотичне",,,,,,,,"Екзотичне",,,,,,,,0xFF01FE,"Одноручне екзотичне",,,,,,,,"Одноручне екзотичне",,,,,,,,0xFF01FE,
2,12,11,-1,0,3,3,2,3,0x2,"Екзотичне",,,,,,,,"Екзотичне",,,,,,,,0xFF01FE,"Дворучне екзотичне",,,,,,,,"Дворучне екзотичне",,,,,,,,0xFF01FE,
2,13,-1,-1,5,0,3,2,3,0x0,"Кулаки",,,,,,,,"Кулаки",,,,,,,,0xFF01FE,"Кулачне",,,,,,,,"Кулачне",,,,,,,,0xFF01FE,
2,14,-1,-1,2,1,3,2,3,0x1,"Різне",,,,,,,,"Різне",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
2,15,-1,-1,3,0,2,2,3,0x0,"Кинжал",,,,,,,,"Кинжал",,,,,,,,0xFF01FE,"Кинджали",,,,,,,,"Кинджали",,,,,,,,0xFF01FE,
2,16,-1,-1,16,0,3,5,5,0x1,"Метальне",,,,,,,,"Метальне",,,,,,,,0xFF01FE,"Метальне",,,,,,,,"Метальне",,,,,,,,0xFF01FE,
2,17,-1,-1,3,2,1,1,1,0x2,"Спис",,,,,,,,"Спис",,,,,,,,0xFF01FE,"Списи",,,,,,,,"Списи",,,,,,,,0xFF01FE,
2,18,-1,-1,160,0,3,4,4,0x1,"Арбалет",,,,,,,,"Арбалет",,,,,,,,0xFF01FE,"Арбалети",,,,,,,,"Арбалети",,,,,,,,0xFF01FE,
2,19,-1,-1,256,0,3,2,3,0x1,"Жезл",,,,,,,,"Жезл",,,,,,,,0xFF01FE,"Жезли",,,,,,,,"Жезли",,,,,,,,0xFF01FE,
2,20,-1,-1,0,0,1,1,1,0x2,"Вудочка",,,,,,,,"Вудочка",,,,,,,,0xFF01FE,"",,,,,,,,"Вудочки",,,,,,,,0xFF01FE,
3,0,-1,-1,0,1,0,0,0,0x0,"Червоні",,,,,,,,"Червоні",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
3,1,-1,-1,0,1,3,2,3,0x0,"Сині",,,,,,,,"Сині",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,2,-1,-1,0,1,3,2,3,0x0,"Жовті",,,,,,,,"Жовті",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,3,-1,-1,0,1,3,2,3,0x0,"Фіолетові",,,,,,,,"Фіолетові",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,4,-1,-1,0,1,3,2,3,0x0,"Зелені",,,,,,,,"Зелені",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,5,-1,-1,0,1,3,2,3,0x0,"Оранжеві",,,,,,,,"Оранжеві",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,6,-1,-1,0,1,3,2,3,0x0,"Особливі",,,,,,,,"Особливі",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,7,-1,-1,0,1,3,2,3,0x0,"Просте",,,,,,,,"Просте",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
3,8,-1,-1,0,1,3,2,3,0x0,"Райдужні",,,,,,,,"Райдужні",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
4,0,-1,-1,512,1,0,0,3,0x0,"Різне",,,,,,,,"Різне",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
4,1,-1,-1,512,0,0,0,3,0x0,"Тканина",,,,,,,,"Тканина",,,,,,,,0xFF01FE,"Тканинні",,,,,,,,"Тканинні",,,,,,,,0xFF01FE,
4,2,-1,-1,512,0,0,0,3,0x0,"Шкіра",,,,,,,,"Шкіра",,,,,,,,0xFF01FE,"Шкіряні",,,,,,,,"Шкіряні",,,,,,,,0xFF01FE,
4,3,-1,-1,512,0,0,0,3,0x0,"Кольчуга",,,,,,,,"Кольчуга",,,,,,,,0xFF01FE,"Кольчужні",,,,,,,,"Кольчужні",,,,,,,,0xFF01FE,
4,4,-1,-1,512,0,0,0,3,0x0,"Лати",,,,,,,,"Лати",,,,,,,,0xFF01FE,"Латні",,,,,,,,"Латні",,,,,,,,0xFF01FE,
4,5,-1,-1,0,2,0,0,3,0x0,"Пряжка(unused)",,,,,,,,"Пряжка(unused)",,,,,,,,0xFF01FE,"Пряжки",,,,,,,,"Пряжки",,,,,,,,0xFF01FE,
4,6,5,-1,0,0,0,0,3,0x0,"Щит",,,,,,,,"Щит",,,,,,,,0xFF01FE,"Щити",,,,,,,,"Щити",,,,,,,,0xFF01FE,
4,7,-1,-1,0,0,0,0,3,0x0,"Манускрипт",,,,,,,,"Манускрипт",,,,,,,,0xFF01FE,"",,,,,,,,"Манускрипти",,,,,,,,0xFF01FE,
4,8,-1,-1,0,0,0,0,3,0x0,"Ідол",,,,,,,,"Ідол",,,,,,,,0xFF01FE,"Ідоли",,,,,,,,"Ідоли",,,,,,,,0xFF01FE,
4,9,-1,-1,0,0,0,0,3,0x0,"Тотем",,,,,,,,"Тотем",,,,,,,,0xFF01FE,"Тотеми",,,,,,,,"Тотеми",,,,,,,,0xFF01FE,
4,10,-1,-1,0,0,0,0,3,0x0,"Печаті",,,,,,,,"Печаті",,,,,,,,0xFF01FE,"Печаті",,,,,,,,"Печаті",,,,,,,,0xFF01FE,
5,0,-1,-1,0,1,3,2,3,0x0,"Реагент",,,,,,,,"Реагент",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
6,0,-1,-1,0,3,0,0,3,0x0,Жезл(unused)",,,,,,,,"Жезл(unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
6,1,-1,-1,0,2,0,0,3,0x0,"Болт(unused)",,,,,,,,"Болт(unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
6,2,-1,-1,0,0,0,0,3,0x0,"Стріли",,,,,,,,"Стріли",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
6,3,-1,-1,0,0,0,0,3,0x0,"Кулі",,,,,,,,"Кулі",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
6,4,-1,-1,64,2,3,2,3,0x0,"Метальна(unused)",,,,,,,,"Метальна(unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
7,0,-1,-1,0,3,3,2,3,0x0,"Господарські товари",,,,,,,,"Господарські товари",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
7,10,-1,-1,0,1,3,2,3,0x0,"Стихії",,,,,,,,"Стихії",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,5,-1,-1,0,1,3,2,3,0x0,"Тканина",,,,,,,,"Тканина",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,6,-1,-1,0,1,3,2,3,0x0,"Шкіра",,,,,,,,"Шкіра",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,7,-1,-1,0,1,3,2,3,0x0,"Метал та камінь",,,,,,,,"Метал та камінь",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,8,-1,-1,0,1,3,2,3,0x0,"М'ясо",,,,,,,,"М'ясо",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,9,-1,-1,0,1,3,2,3,0x0,"Трава",,,,,,,,"Трава",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,12,-1,-1,0,1,3,2,3,0x0,"Зачарування",,,,,,,,"Зачарування",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,4,-1,-1,0,1,3,2,3,0x0,"Ювелірна справа",,,,,,,,"Ювелірна справа","",,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,1,-1,-1,0,1,3,2,3,0x0,"Деталі",,,,,,,,"Деталі",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
7,3,-1,-1,0,1,3,2,3,0x0,"Пристрої",,,,,,,,"Пристрої",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
7,2,-1,-1,0,1,3,2,3,0x0,"Вибухівка",,,,,,,,"Вибухівка",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
7,13,-1,-1,0,1,3,2,3,0x0,"Матеріали",,,,,,,,"Матеріали",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,11,-1,-1,0,1,3,2,3,0x0,"Інше",,,,,,,,"Інше",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
7,14,-1,-1,0,1,3,2,3,0x0,"Чари для обладунків",,,,,,,,"Чари для обладунків",,,,,,,,0xFF01FE,"Чари для обладунків",,,,,,,,"Чари для обладунків",,,,,,,,0xFF01FE,
7,15,-1,-1,0,1,3,2,3,0x0,"Чари для зброї",,,,,,,,"Чари для зброї",,,,,,,,0xFF01FE,"Чари для зброї",,,,,,,,"Чари для зброї",,,,,,,,0xFF01FE,
8,0,-1,-1,0,1,3,2,3,0x0,"Стандартне(unused)",,,,,,,,"Стандартне(unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
