long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,,,,,,,,,"орочий",,,,,,,,0xFF01FE,
2,,,,,,,,,"дарнасский",,,,,,,,0xFF01FE,
3,,,,,,,,,"таурахэ",,,,,,,,0xFF01FE,
6,,,,,,,,,"дворфийский",,,,,,,,0xFF01FE,
7,,,,,,,,,"всеобщий",,,,,,,,0xFF01FE,
8,,,,,,,,,"язык демонов",,,,,,,,0xFF01FE,
9,,,,,,,,,"язык титанов",,,,,,,,0xFF01FE,
10,,,,,,,,,"талассийский",,,,,,,,0xFF01FE,
11,,,,,,,,,"драконий",,,,,,,,0xFF01FE,
12,,,,,,,,,"калимаг",,,,,,,,0xFF01FE,
13,,,,,,,,,"гномский",,,,,,,,0xFF11FE,
14,,,,,,,,,"язык троллей",,,,,,,,0xFF01FF,
33,,,,,,,,,"наречие нежити",,,,,,,,0xFF01FE,
35,,,,,,,,,"дренейский",,,,,,,,0xFF01FE,
36,,,,,,,,,"наречие зомби",,,,,,,,0x6FFF5FE,
37,,,,,,,,,"машинный гномский",,,,,,,,0xFFE7FE,
38,,,,,,,,,"машинный гоблинский",,,,,,,,0xFF01FE,
