long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,flags,flags,str,
1,0,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
2,1,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
3,13,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
4,25,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
5,29,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0xA,"",
6,30,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
126,30,1,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
163,30,2,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
522,30,3,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
7,33,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
8,34,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
9,35,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
10,36,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
11,37,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
12,42,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x0,"",
13,43,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
14,44,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0xA,"",
15,47,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
16,48,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
17,70,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
18,90,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
19,109,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
20,129,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
21,169,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x28,"RAID_DIFFICULTY_40PLAYER",
22,189,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
23,209,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
24,229,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0xF,"",
25,230,0,"",,,,,,,,"",,,,,,,,0xFF01FC,0x0,0x5,"",
