long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,"Епічне",,,,,,,,"Епічне",,,,,,,,0xFF01FE,
21,"ПОВТОРНО - Старі Печери Плачу",,,,,,,,"ПОВТОРНО - Старі Печери Плачу",,,,,,,,0xFF01FE,
22,"Сезонні",,,,,,,,"Сезонні",,,,,,,,0xFF01FE,
23,"ПОВТОРНО - Старе Підмісто 1",,,,,,,,"ПОВТОРНО - Старе Підмісто 1",,,,,,,,0xFF01FE,
24,"Травництво",,,,,,,,"Травництво",,,,,,,,0xFF01FE,
25,"Поля битв",,,,,,,,"Поля битв",,,,,,,,0xFF01FE,
41,"День Мертвих",,,,,,,,"День Мертвих",,,,,,,,0xFF01FE,
61,"Чорнокнижник",,,,,,,,"Чорнокнижник",,,,,,,,0xFF01FE,
81,"Воїн",,,,,,,,"Воїн",,,,,,,,0xFF01FE,
82,"Шаман",,,,,,,,"Шаман",,,,,,,,0xFF01FE,
101,"Риболовля",,,,,,,,"Риболовля",,,,,,,,0xFF01FE,
121,"Ковальська справа",,,,,,,,"Ковальська справа",,,,,,,,0xFF01FE,
141,"Паладин",,,,,,,,"Паладин",,,,,,,,0xFF01FE,
161,"Маг",,,,,,,,"Маг",,,,,,,,0xFF01FE,
162,"Розбійник",,,,,,,,"Розбійник",,,,,,,,0xFF01FE,
181,"Алхімія",,,,,,,,"Алхімія",,,,,,,,0xFF01FE,
182,"Шкіряна справа",,,,,,,,"Шкіряна справа",,,,,,,,0xFF01FE,
201,"Інженерна справа",,,,,,,,"Інженерна справа",,,,,,,,0xFF01FE,
221,"Пошук скарбів",,,,,,,,"Пошук скарбів",,,,,,,,0xFF01FE,
241,"Турнір",,,,,,,,"Турнір",,,,,,,,0xFF01FE,
261,"Мисливець",,,,,,,,"Мисливець",,,,,,,,0xFF01FE,
262,"Жрець",,,,,,,,"Жрець",,,,,,,,0xFF01FE,
263,"Друїд",,,,,,,,"Друїд",,,,,,,,0xFF01FE,
264,"Кравецька справа",,,,,,,,"Кравецька справа",,,,,,,,0xFF01FE,
284,"Особливе",,,,,,,,"Особливе",,,,,,,,0xFF01FE,
304,"Кулінарія",,,,,,,,"Кулінарія",,,,,,,,0xFF01FE,
324,"Перша допомога",,,,,,,,"Перша допомога",,,,,,,,0xFF01FE,
344,"Легендарне",,,,,,,,"Легендарне",,,,,,,,0xFF01FE,
364,"Ярмарок Темного Місяця",,,,,,,,"Ярмарок Темного Місяця",,,,,,,,0xFF01FE,
365,"Війна в Анкіраджі",,,,,,,,"Війна в Анкіраджі",,,,,,,,0xFF01FE,
366,"Місячний фестиваль",,,,,,,,"Місячний фестиваль",,,,,,,,0xFF01FE,
367,"Репутація",,,,,,,,"Репутація",,,,,,,,0xFF01FE,
368,"Вторгнення",,,,,,,,"Вторгнення",,,,,,,,0xFF01FE,
369,"Фестиваль Купальських Вогнів",,,,,,,,"Фестиваль Купальських Вогнів",,,,,,,,0xFF01FE,
370,"Хмільний фестиваль",,,,,,,,"Хмільний фестиваль",,,,,,,,0xFF01FE,
371,"Креслення",,,,,,,,"Креслення",,,,,,,,0xFF01FE,
372,"Лицар смерті",,,,,,,,"Лицар смерті",,,,,,,,0xFF01FE,
373,"Ювелірна справа",,,,,,,,"Ювелірна справа",,,,,,,,0xFF01FE,
374,"Сад чудес",,,,,,,,"Сад чудес",,,,,,,,0xFF01FE,
375,"Бенкет мандрівників",,,,,,,,"Бенкет мандрівників",,,,,,,,0xFF01FE,
376,"Любовна лихоманка",,,,,,,,"Любовна лихоманка",,,,,,,,0xFF01FE,
