long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,,,,,,,,,"подчинение",,,,,,,,0xFF01FE,
2,,,,,,,,,"дезориентация",,,,,,,,0xFF01FE,
3,,,,,,,,,"без оружия",,,,,,,,0xFF01FE,
4,,,,,,,,,"отвлечение",,,,,,,,0xFF01FE,
5,,,,,,,,,"паника",,,,,,,,0xFF01FE,
6,,,,,,,,,"неуклюжесть",,,,,,,,0xFF01FE,
7,,,,,,,,,"оплетение",,,,,,,,0xFF01FE,
8,,,,,,,,,"покой",,,,,,,,0xFF01FE,
9,,,,,,,,,"немота",,,,,,,,0xFF01FE,
10,,,,,,,,,"сон",,,,,,,,0xFF01FE,
11,,,,,,,,,"сковывание",,,,,,,,0xFF01FE,
12,,,,,,,,,"оглушение",,,,,,,,0xFF01FE,
13,,,,,,,,,"заморозка",,,,,,,,0xFF01FE,
14,,,,,,,,,"паралич",,,,,,,,0xFF01FE,
15,,,,,,,,,"кровотечение",,,,,,,,0xFF01FE,
16,,,,,,,,,"лечение",,,,,,,,0xFF01FE,
17,,,,,,,,,"превращение",,,,,,,,0xFF01FE,
18,,,,,,,,,"изгнание",,,,,,,,0xFF01FE,
19,,,,,,,,,"защита",,,,,,,,0xFF01FE,
20,,,,,,,,,"оковы",,,,,,,,0xFF01FE,
21,,,,,,,,,"верхом",,,,,,,,0xFF01FE,
22,,,,,,,,,"заражение",,,,,,,,0xFF01FE,
23,,,,,,,,,"обращение",,,,,,,,0xFF01FE,
24,,,,,,,,,"ужас",,,,,,,,0xFF01FE,
25,,,,,,,,,"неуязвимость",,,,,,,,0xFF01FE,
26,,,,,,,,,"прерывание",,,,,,,,0xFF01FE,
27,,,,,,,,,"головокружение",,,,,,,,0xFF01FE,
28,,,,,,,,,"открытие",,,,,,,,0xFF01FE,
29,,,,,,,,,"неуязвимость",,,,,,,,0xFF01FE,
30,,,,,,,,,"ошеломление",,,,,,,,0xFF01FE,
31,,,,,,,,,"исступление",,,,,,,,0xFF01FE,
