long,long,float,float,float,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,
1,0,-8888.98046875,-0.540000021458,94.3899993896,"Аббатство Північного Графства",,,,,,,,"Аббатство Північного Графства",,,,,,,,0xFF01FE,308,0,
2,0,-8840.55957031,489.700012207,109.61000061,"Штормград, Элвин",,,,,,,,"Штормград, Элвин",,,,,,,,0xFF01FE,0,541,
3,0,16391.8105469,16341.2099609,69.4400024414,"Острів програміста",,,,,,,,"Острів програміста",,,,,,,,0xFF01FE,308,0,
4,0,-10629.2900391,1036.94995117,34.0200004578,"Сторожовий Пагорб, Західний Край",,,,,,,,"Сторожовий Пагорб, Західний Край",,,,,,,,0xFF01FE,0,541,
5,0,-9429.09960938,-2231.39990234,68.6500015259,"Приозер'я, Червоногір'я",,,,,,,,"Приозер'я, Червоногір'я",,,,,,,,0xFF01FE,0,541,
6,0,-4821.77978516,-1155.43994141,502.209991455,"Стальгорн, Дан Морог",,,,,,,,"Стальгорн, Дан Морог",,,,,,,,0xFF01FE,0,541,
7,0,-3792.26000977,-783.289978027,9.06000041962,"Гавань Менетилів, Болота",,,,,,,,"Гавань Менетилів, Болота",,,,,,,,0xFF01FE,0,541,
8,0,-5421.91015625,-2930.01000977,347.25,"Телcамар, озеро Лок Модан",,,,,,,,"Телcамар, озеро Лок Модан",,,,,,,,0xFF01FE,0,541,
9,0,-14271.7695313,299.869995117,31.0900001526,"Піратська Бухта, Терниста Долина",,,,,,,,"Піратська Бухта, Терниста Долина",,,,,,,,0xFF01FE,541,0,
10,0,478.859985352,1536.58996582,131.320007324,"Гробниця, Ліс Сріблястих Сосен",,,,,,,,"Гробниця, Ліс Сріблястих Сосен",,,,,,,,0xFF01FE,3574,0,
11,0,1568.61999512,267.970001221,-43.0999984741,"Підмісто, Тірісфаль",,,,,,,,"Підмісто, Тірісфаль",,,,,,,,0xFF01FE,3574,0,
12,0,-10515.4599609,-1261.65002441,41.3400001526,"Темнолісся, Сутінковий Ліс",,,,,,,,"Темнолісся, Сутінковий Ліс",,,,,,,,0xFF01FE,0,541,
13,0,-0.0599999986589,-859.909973145,58.8300018311,"Млин Таррен, Гіллсбрад",,,,,,,,"Млин Таррен, Гіллсбрад",,,,,,,,0xFF01FE,3574,0,
14,0,-711.479980469,-515.479980469,26.1100006104,"Південне Узбережжя, Гіллсбрад",,,,,,,,"Південне Узбережжя, Гіллсбрад",,,,,,,,0xFF01FE,0,541,
15,0,2253.39990234,-5344.89990234,83.3799972534,"Східні Чумні Землі",,,,,,,,"Східні Чумні Землі",,,,,,,,0xFF01FE,541,0,
16,0,-1240.5300293,-2515.11010742,22.1599998474,"Опорний пункт, Араті",,,,,,,,"Опорний пункт, Араті",,,,,,,,0xFF01FE,0,541,
17,0,-916.289978027,-3496.88989258,70.4499969482,"Павший Молот, Араті",,,,,,,,"Павший Молот, Араті",,,,,,,,0xFF01FE,2224,0,
18,0,-14444.2900391,509.619995117,26.2000007629,"Піратська Бухта, Терниста Долина",,,,,,,,"Піратська Бухта, Терниста Долина",,,,,,,,0xFF01FE,2224,0,
19,0,-14473.0498047,464.149993896,36.4300003052,"Піратська Бухта, Терниста Долина",,,,,,,,"Піратська Бухта, Терниста Долина",,,,,,,,0xFF01FE,0,541,
20,0,-12414.1796875,146.289993286,3.27999997139,"Гром'гол, Терниста Долина",,,,,,,,"Гром'гол, Терниста Долина",,,,,,,,0xFF01FE,2224,0,
21,0,-6633.99023438,-2180.05004883,244.13999939,"Каргат, Безплідні Землі",,,,,,,,"Каргат, Безплідні Землі",,,,,,,,0xFF01FE,2224,0,
22,1,-1197.20996094,29.7099990845,176.949996948,"Громовий Перевал, Мулгор",,,,,,,,"Громовий Перевал, Мулгор",,,,,,,,0xFF01FE,2224,0,
23,1,1677.58996582,-4315.70996094,61.1699981689,"Оргріммар, Дуротар",,,,,,,,"Оргріммар, Дуротар",,,,,,,,0xFF01FE,2224,0,
24,0,-6666.0,-2222.30004883,278.600006104,"Стандартне, мир, ціль 002",,,,,,,,"Стандартне, мир, ціль 002",,,,,,,,0xFF01FE,0,0,
25,1,-441.799987793,-2596.08007813,96.0599975586,"Перехрестя, Степи",,,,,,,,"Перехрестя, Степи",,,,,,,,0xFF01FE,2224,0,
26,1,6341.37988281,557.679992676,16.2900009155,"Аубердін, Темні Береги",,,,,,,,"Аубердін, Темні Береги",,,,,,,,0xFF01FE,0,3837,
27,1,8643.58984375,841.049987793,23.2999992371,"Селище Рут'теран, Тельдрассіл",,,,,,,,"Селище Рут'теран, Тельдрассіл",,,,,,,,0xFF01FE,0,3837,
28,1,2827.34008789,-289.239990234,107.160003662,"Астранаар, Ашенваль",,,,,,,,"Астранаар, Ашенваль",,,,,,,,0xFF01FE,0,3837,
29,1,966.570007324,1040.31994629,104.269996643,"Притулок у Сонячного Каменя, Гори Кам'яного Кігтя",,,,,,,,"Притулок у Сонячного Каменя, Гори Кам'яного Кігтя",,,,,,,,0xFF01FE,2224,0,
30,1,-5407.70996094,-2414.30004883,90.3199996948,"Застава Вольный Вітер, Тисяча Голок",,,,,,,,"Застава Вольный Вітер, Тисяча Голок",,,,,,,,0xFF01FE,2224,0,
31,1,-4491.87988281,-775.890014648,-39.5200004578,"Таланаар, Фералас",,,,,,,,"Таланаар, Фералас",,,,,,,,0xFF01FE,0,3837,
32,1,-3825.37011719,-4516.58007813,10.4399995804,"Терамор, Пилові Болота",,,,,,,,"Терамор, Пилові Болота",,,,,,,,0xFF01FE,0,541,
33,1,2681.12988281,1461.68005371,232.880004883,"Пік Кам'яного Кігтя, Гори Кам'яного Кігтя",,,,,,,,"Пік Кам'яного Кігтя, Гори Кам'яного Кігтя",,,,,,,,0xFF01FE,0,3837,
34,1,-1965.17004395,-5824.29003906,-1.05999994278,"Транспорт, Піратська Бухта",,,,,,,,"Транспорт, Піратська Бухта",,,,,,,,0xFF01FE,0,0,
35,1,1320.06994629,-4649.20019531,21.5699996948,"Транспорт, Оргріммар",,,,,,,,"Транспорт, Оргріммар",,,,,,,,0xFF01FE,0,0,
36,0,-8644.62011719,433.279998779,59.4599990845,"Стандартне, мир, ціль 001",,,,,,,,"Стандартне, мир, ціль 001",,,,,,,,0xFF01FE,15665,0,
37,1,139.240005493,1325.81994629,193.5,"Висота Найджела, Пустка",,,,,,,,"Висота Найджела, Пустка",,,,,,,,0xFF01FE,0,3837,
38,1,-1767.64001465,3263.88989258,4.94000005722,"Селище Нічних Охотников, Пустка",,,,,,,,"Селище Нічних Охотников, Пустка",,,,,,,,0xFF01FE,2224,0,
39,1,-7223.97021484,-3734.59008789,8.39000034332,"Прибамбаск, Танаріс",,,,,,,,"Прибамбаск, Танаріс",,,,,,,,0xFF01FE,0,541,
40,1,-7048.89013672,-3780.36010742,10.1899995804,"Прибамбаск, Танаріс",,,,,,,,"Прибамбаск, Танаріс",,,,,,,,0xFF01FE,2224,0,
41,1,-4373.79980469,3338.64990234,12.2700004578,"Фортеця Пернатого Місяця, Фералас",,,,,,,,"Фортеця Пернатого Місяця, Фералас",,,,,,,,0xFF01FE,0,3837,
42,1,-4419.85986328,199.309997559,25.0599994659,"Табір Мохаче, Фералас",,,,,,,,"Табір Мохаче, Фералас",,,,,,,,0xFF01FE,2224,0,
43,0,283.739990234,-2002.76000977,194.740005493,"Захмарний Пік, Внутрішні Землі",,,,,,,,"Захмарний Пік, Внутрішні Землі",,,,,,,,0xFF01FE,0,541,
44,1,3661.52001953,-4390.37988281,113.050003052,"Валормок, Азшара",,,,,,,,"Валормок, Азшара",,,,,,,,0xFF01FE,2224,0,
45,0,-11112.25,-3435.73999023,79.0899963379,"Фортеця Вартових Порожнечі, Випалені Землі",,,,,,,,"Фортеця Вартових Порожнечі, Випалені Землі",,,,,,,,0xFF01FE,0,541,
46,0,-986.429992676,-547.859985352,-3.8599998951,"Транспорт, Південне Узбережжя",,,,,,,,"Транспорт, Південне Узбережжя",,,,,,,,0xFF01FE,0,0,
47,0,-12418.7695313,235.429992676,1.12000000477,"Транспорт, Гром'гол",,,,,,,,"Транспорт, Гром'гол",,,,,,,,0xFF01FE,0,0,
48,1,5068.39990234,-337.220001221,367.410003662,"Застава Отравленої Крові, Осквернений Ліс",,,,,,,,"Застава Отравленої Крові, Осквернений Ліс",,,,,,,,0xFF01FE,2224,0,
49,1,7458.45019531,-2487.20996094,462.329986572,"Місячна Галявина",,,,,,,,"Місячна Галявина",,,,,,,,0xFF01FE,0,3837,
50,0,0.0,0.0,0.0,"Транспорт, Гавань Менетилів",,,,,,,,"Транспорт, Гавань Менетилів",,,,,,,,0xFF01FE,0,0,
51,0,0.0,0.0,0.0,"Транспорт, Аубердін",,,,,,,,"Транспорт, Аубердін",,,,,,,,0xFF01FE,0,0,
52,1,6796.79980469,-4742.39013672,701.5,"Вічнозір, Зимові Джерела",,,,,,,,"Вічнозір, Зимові Джерела",,,,,,,,0xFF01FE,0,3837,
53,1,6813.06005859,-4611.12011719,710.66998291,"Вічнозір, Зимові Джерела",,,,,,,,"Вічнозір, Зимові Джерела",,,,,,,,0xFF01FE,2224,0,
54,1,-4203.87011719,3284.0,-12.8599996567,"Транспорт, фортецю Пернатого Місяця",,,,,,,,"Транспорт, фортецю Пернатого Місяця",,,,,,,,0xFF01FE,0,0,
55,1,-3147.38989258,-2842.17993164,34.6100006104,"Селище Бракенволл, Пилові Болота",,,,,,,,"Селище Бракенволл, Пилові Болота",,,,,,,,0xFF01FE,2224,0,
56,0,-10456.9697266,-3279.25,21.3500003815,"Стонард, Болото Смутку",,,,,,,,"Стонард, Болото Смутку",,,,,,,,0xFF01FE,2224,0,
57,1,8701.50976563,991.369995117,14.2100000381,"Рыбацкий поселок, Тельдрассіл",,,,,,,,"Рыбацкий поселок, Тельдрассіл",,,,,,,,0xFF01FE,0,3837,
58,1,3374.70996094,996.969970703,5.19000005722,"Форт Зорам'гар, Ашенваль",,,,,,,,"Форт Зорам'гар, Ашенваль",,,,,,,,0xFF01FE,2224,0,
59,30,574.210021973,-46.6500015259,37.6100006104,"Дун Болдар, Альтеракська Долина",,,,,,,,"Дун Болдар, Альтеракська Долина",,,,,,,,0xFF01FE,0,541,
60,30,-1335.43994141,-319.690002441,90.6600036621,"Фортеця Морозного Вовка, Альтеракська Долина",,,,,,,,"Фортеця Морозного Вовка, Альтеракська Долина",,,,,,,,0xFF01FE,3574,0,
61,1,2302.38989258,-2524.55004883,104.400001526,"Застава Розщепленого Дерева, Ашенваль",,,,,,,,"Застава Розщепленого Дерева, Ашенваль",,,,,,,,0xFF01FE,2224,0,
62,1,7793.60986328,-2403.4699707,489.320007324,"Нічна Гавань, Місячна Галявина",,,,,,,,"Нічна Гавань, Місячна Галявина",,,,,,,,0xFF01FE,0,3837,
63,1,7787.72021484,-2404.10009766,489.559997559,"Нічна Гавань, Місячна Галявина",,,,,,,,"Нічна Гавань, Місячна Галявина",,,,,,,,0xFF01FE,2224,0,
64,1,2721.98999023,-3880.63989258,100.870002747,"Застава Талрендис, Азшара",,,,,,,,"Застава Талрендис, Азшара",,,,,,,,0xFF01FE,0,3837,
65,1,6205.87988281,-1949.63000488,571.289978027,"Поляна Кігтистих Гілок, Осквернений Ліс",,,,,,,,"Поляна Кігтистих Гілок, Осквернений Ліс",,,,,,,,0xFF01FE,0,3837,
