long,long,float,float,float,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,0,-9115.0,423.0,96.0,,,,,,,,,"Штормград",,,,,,,,0xFF01FE,
2,0,-9194.30566406,-2313.26416016,88.8265228271,,,,,,,,,"Красногорье",,,,,,,,0xFF01FE,
3,0,-10774.2626953,-1189.671875,33.1494255066,,,,,,,,,"Сумеречный лес, Темнолесье",,,,,,,,0xFF01FE,
4,0,-10546.9003906,1197.23999023,31.7262992859,,,,,,,,,"Западный Край, Сторожевой холм",,,,,,,,0xFF01FE,
5,0,-5687.0,-515.0,398.0,,,,,,,,,"Дун Морог",,,,,,,,0xFF01FE,
6,0,-5351.22900391,-2881.58227539,340.942352295,,,,,,,,,"Лок Модан, Телcамар",,,,,,,,0xFF01FE,
7,0,-3289.1237793,-2435.99121094,18.5965900421,,,,,,,,,"Болотина, Перекресток",,,,,,,,0xFF01FE,
8,0,-6289.91113281,-3493.10791016,251.482772827,,,,,,,,,"Бесплодные земли, Северо-восточное кладбище",,,,,,,,0xFF01FE,
10,1,-592.60144043,-2523.49243164,91.7880325317,,,,,,,,,"Степи, Перекресток",,,,,,,,0xFF01FE,
31,1,-448.310882568,2512.64575195,93.077255249,,,,,,,,,"Пустоши, Этель-Ретор",,,,,,,,0xFF01FE,
32,1,233.457992554,-4793.72998047,10.1880998611,,,,,,,,,"Дуротар, Колючий Холм",,,,,,,,0xFF01FE,
33,1,1357.09997559,-4412.00976563,28.3840999603,,,,,,,,,"Дуротар, Оргриммар",,,,,,,,0xFF01FE,
34,1,-2944.55639648,-153.215026855,65.786026001,,,,,,,,,"Мулгор, Плато Красного Облака",,,,,,,,0xFF01FE,
35,1,6739.18994141,209.992599487,23.2845611572,,,,,,,,,"Темные берега, Аубердин",,,,,,,,0xFF01FE,
36,0,-11110.3769531,-1833.24072266,71.8641967773,,,,,,,,,"Перевал Мертвого Ветра, Надел Моргана",,,,,,,,0xFF01FE,
39,1,-4656.0,-1765.0,-41.0,,,,,,,,,"Тысяча Игл, Великий Подъемник",,,,,,,,0xFF01FE,
49,37,-661.528442383,-485.309020996,385.887908936,,,,,,,,,"Белое Безмолвие, старт Орды",,,,,,,,0xFF01FE,
70,1,-6432.25634766,-278.292114258,3.79410505295,,,,,,,,,"Силитус, Погост Отважных",,,,,,,,0xFF01FE,
89,1,-2175.18969727,-342.026916504,-5.51232481003,,,,,,,,,"Мулгор, Деревня Кровавого Копыта",,,,,,,,0xFF01FE,
90,1,10054.2998047,2117.12011719,1329.63000488,,,,,,,,,"Тельдрассил, Дарнас",,,,,,,,0xFF01FE,
91,1,9701.25488281,945.620422363,1291.35510254,,,,,,,,,"Тельдрассил, Доланаар",,,,,,,,0xFF01FE,
92,1,2633.41113281,-629.735168457,107.581253052,,,,,,,,,"Ясеневый лес, Астранаар",,,,,,,,0xFF01FE,
93,1,10384.8095703,811.531188965,1317.53820801,,,,,,,,,"Тельдрассил, Альдрассил",,,,,,,,0xFF01FE,
94,0,1882.93994141,1629.10998535,94.4175033569,,,,,,,,,"Тирисфальские леса, Могильник",,,,,,,,0xFF01FE,
96,0,1822.60998535,214.673995972,60.1402015686,,,,,,,,,"Тирисфальские леса, Подгород",,,,,,,,0xFF01FE,
97,0,516.194335938,1589.80664062,127.544937134,,,,,,,,,"Серебряный бор, Гробница",,,,,,,,0xFF01FE,
98,0,-18.6776809692,-981.171447754,55.8376693726,,,,,,,,,"Предгорья Хилсбрада, Мельница Таррен",,,,,,,,0xFF01FE,
99,0,-1307.65515137,-3192.14892578,37.785320282,,,,,,,,,"Нагорье Арати, Восточная дорога",,,,,,,,0xFF01FE,
100,0,-6164.22607422,336.321136475,399.793365479,,,,,,,,,"Дун Морог, Старая Наковальня",,,,,,,,0xFF01FE,
